txs,cpus,p1,p2,p3,poll,f,c,e,as,af,pr,rio,uns,swi,flu,wmibs
743402,18.65,33,27,38,0,615279,0,0,0,0,10460578,0,0,0,0,0
749172,18.39,42,34,22,0,566224,0,0,0,0,10489207,0,0,0,0,0
743483,18.70,31,28,40,0,517305,0,0,0,0,10381171,0,0,0,0,0
742259,18.48,71,23,5,0,468005,0,0,0,0,10117221,0,0,0,0,0
747151,18.50,95,2,2,0,419884,0,0,0,0,10373158,0,0,0,0,0
732690,18.38,47,11,41,0,370494,10806,0,0,0,8484254,0,13144,2338,0,0
757204,18.81,98,0,1,0,323369,57931,0,0,0,2017767,0,74540,27415,0,0
709384,18.85,91,0,8,2,277573,103316,0,0,0,1763186,0,85979,40594,0,0
704416,18.98,86,0,13,0,230800,150441,0,0,0,1713358,0,97183,50058,0,0
708145,18.93,97,0,2,0,183335,197965,0,0,0,1788527,0,105226,57702,0,0
721985,18.87,93,0,6,0,135662,245638,0,0,0,1482440,0,110507,62834,0,0
700911,19.02,99,0,0,0,91740,289560,0,0,0,1634316,0,105588,61666,0,0
680049,19.00,99,0,0,0,45396,335904,0,0,0,1618856,0,114884,68540,0,0
706240,18.86,59,0,40,18,16261,364881,17680,17952,70,877298,57,117223,70623,17680,275
710835,19.09,32,1,66,22,19073,362218,50568,63990,130,413008,877,121117,74088,50568,788
703244,18.57,29,1,69,25,18478,362612,47817,66571,101,486481,1718,121634,75142,47819,746
715074,18.67,32,1,66,22,19081,362219,49950,70022,98,389004,2497,123826,76766,49953,779
717337,18.56,30,1,68,22,19053,362223,49726,72371,89,456906,3060,124564,77894,49728,775
703815,18.38,37,1,61,18,19049,362223,47631,63723,114,464514,3335,119911,75615,47632,743
677131,18.47,35,1,63,20,18334,362947,48620,64872,114,444887,3886,123508,78050,48622,758
692855,18.29,30,1,68,21,19069,362230,52252,74527,103,435955,4478,129349,82291,52233,814
707990,18.14,25,1,73,35,18928,362142,44321,61475,101,382984,4119,111954,71841,44245,690
601318,14.89,23,1,75,31,19072,362228,37532,59257,25,1300857,3666,94910,60958,37415,583
516482,11.93,14,0,84,60,18159,363130,32131,41844,73,568732,3435,83337,53740,31991,499
