t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,1984579,0,0,4.13921,0,0,0,116795,0,3012,323.855,1828.24,9.42098,1.85392,1447.17,5.64524,4.13921,0.223785,0,contention,0,585,0,0,0,0,0
1,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78235,100,0,0,0,0,0,0,0,0,81.6195,0,18446744073709551545,0,164050,0,0,118.273,0,0,0,13,0,120046590,1811.85,2279.28,3.29443,0.617372,991.8,1.25799,118.273,1.82683,0,contention,0,2393335,0,0,13,0,0
2,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78268,100,0,0,0,0,0,0,0,0,81.6161,0,18446744073709551545,0,173346,0,0,119.892,0,0,0,22,0,126857556,1827.26,2279.87,3.47143,0.653283,950.953,1.2477,119.892,1.92151,0,contention,0,2915679,0,0,22,0,0
3,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78294,100,0,0,0,0,0,0,0,0,81.6134,0,18446744073709551545,0,145303,0,0,119.926,0,0,0,17,0,184372447,1776.15,2268.3,3.47189,0.642678,653.061,1.27709,119.926,2.71973,0,contention,0,3259294,0,0,17,0,0
4,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.783,100,0,0,0,0,0,0,0,0,81.6127,0,18446744073709551545,0,137955,0,0,119.93,0,0,0,4,0,192410054,1749.15,2252.84,3.36719,0.604579,625.833,1.28796,119.93,2.79491,0,contention,0,2354423,0,0,4,0,0
5,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78307,100,0,0,0,0,0,0,0,0,81.6121,0,18446744073709551545,0,137771,0,0,119.933,0,0,0,4,0,191122522,1760.68,2247.44,3.23617,0.587365,630.1,1.27646,119.933,2.79429,0,contention,0,2028758,0,0,4,0,0
6,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78313,100,0,0,0,0,0,0,0,0,81.6115,0,18446744073709551545,0,138058,0,0,119.934,0,0,0,4,0,190264736,1769.82,2244.03,3.11617,0.58565,632.868,1.26794,119.934,2.79651,0,contention,0,1896603,0,0,4,0,0
7,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78319,100,0,0,0,0,0,0,0,0,81.6109,0,18446744073709551545,0,138567,0,0,119.928,0,0,0,4,0,188242972,1794.11,2248.49,3.11205,0.596363,640.005,1.25326,119.928,2.80328,0,contention,0,2213314,0,0,4,0,0
8,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78322,100,0,0,0,0,0,0,0,0,81.6105,0,18446744073709551545,0,138571,0,0,119.941,0,0,0,2,0,189470778,1782.89,2243.99,3.00359,0.584704,635.563,1.25863,119.941,2.80521,0,contention,0,2120791,0,0,2,0,0
9,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78323,100,0,0,0,0,0,0,0,0,81.6104,0,18446744073709551545,0,138162,0,0,119.929,0,0,0,1,0,190564317,1765.73,2243.28,2.98396,0.573607,631.856,1.27046,119.929,2.79451,0,contention,0,2008574,0,0,1,0,0
