t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,2067217,0,0,3.38306,0,0,0,116795,0,1475,555.955,1613.74,17.9159,3.49898,2056.84,2.90265,3.38306,0.270296,0,contention,0,539,0,0,0,0,0
1,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78253,100,0,0,0,0,0,0,0,0,81.6176,0,18446744073709551545,0,171341,0,0,118.474,0,0,0,25,0,142834847,1526.1,2253.32,2.25208,0.543265,835.124,1.47652,118.474,1.82739,0,contention,0,1894652,0,0,25,0,0
2,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78259,100,0,0,0,0,0,0,0,0,81.617,0,18446744073709551545,0,171314,0,0,119.889,0,0,0,4,0,162529855,1436.04,2223.84,1.7969,0.485334,742.137,1.54859,119.889,1.93501,0,contention,0,1042861,0,0,4,0,0
3,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78267,100,0,0,0,0,0,0,0,0,81.6162,0,18446744073709551545,0,150529,0,0,119.923,0,0,0,5,0,218390191,1523.99,2241.89,1.51598,0.487496,552.145,1.47106,119.923,2.76013,0,contention,0,3242118,0,0,5,0,0
4,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78281,100,0,0,0,0,0,0,0,0,81.6148,0,18446744073709551545,0,144133,0,0,119.914,0,0,0,9,0,245852219,1381.89,2218.26,1.14777,0.436006,490.518,1.60524,119.914,2.8172,0,contention,0,2411516,0,0,9,0,0
5,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78284,100,0,0,0,0,0,0,0,0,81.6145,0,18446744073709551545,0,141112,0,0,119.893,0,0,0,2,0,266391955,1248.54,2207.78,0.892265,0.400095,452.628,1.76828,119.893,2.75843,0,contention,0,894495,0,0,2,0,0
6,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78284,100,0,0,0,0,0,0,0,0,81.6145,0,18446744073709551545,0,142005,0,0,119.902,0,0,0,0,0,272873342,1215.56,2187.81,0.845371,0.400926,446.095,1.79984,119.902,2.72489,0,contention,0,701453,0,0,0,0,0
7,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78288,100,0,0,0,0,0,0,0,0,81.614,0,18446744073709551545,0,139517,0,0,119.912,0,0,0,3,0,273445067,1203.79,2210.03,0.785393,0.410237,440.908,1.83589,119.912,2.73026,0,contention,0,792883,0,0,3,0,0
8,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78288,100,0,0,0,0,0,0,0,0,81.614,0,18446744073709551545,0,139280,0,0,119.911,0,0,0,0,0,275331876,1191.83,2203.66,0.764029,0.420442,437.857,1.84897,119.911,2.72196,0,contention,0,683057,0,0,0,0,0
9,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78291,100,0,0,0,0,0,0,0,0,81.6137,0,18446744073709551545,0,138423,0,0,119.925,0,0,0,2,0,278554992,1173.8,2199.21,0.737263,0.416902,432.825,1.87359,119.925,2.71194,0,contention,0,624442,0,0,2,0,0
10,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78291,100,0,0,0,0,0,0,0,0,81.6137,0,18446744073709551545,0,137913,0,0,119.926,0,0,0,0,0,281491186,1157.2,2196.46,0.68471,0.418898,428.309,1.89808,119.926,2.70178,0,contention,0,677310,0,0,0,0,0
11,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78291,100,0,0,0,0,0,0,0,0,81.6137,0,18446744073709551545,0,138430,0,0,119.923,0,0,0,0,0,279796361,1168.53,2198.67,0.681654,0.43078,430.931,1.88157,119.923,2.71164,0,contention,0,860245,0,0,0,0,0
12,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78293,100,0,0,0,0,0,0,0,0,81.6135,0,18446744073709551545,0,137961,0,0,119.922,0,0,0,1,0,280870351,1159.94,2200.05,0.686732,0.425648,429.291,1.89668,119.922,2.702,0,contention,0,737003,0,0,1,0,0
