t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,1,4,6,200,150,0.1,0,0,0,10,1000,1,159.138,100,0,0,0,0,0,0,0,0,17.9447,0,0,4754067,0,3.3579,0,0,0,10429236,0,740,1518.92,966.869,49.4203,11.627,3052.45,0.636551,3.3579,0.497606,0,latest,0,0,787669,0,0,0,0
1,120,1,1,4,6,200,150,0.1,0,0,0,10,1000,1,159.138,100,0,0,0,0,0,0,0,0,17.9447,0,0,2685069,0,118.285,0,0,0,0,0,78415288,2815.39,2004.75,27.618,11.734,1517.86,0.712067,118.285,1.85485,0,latest,0,3682,0,0,0,0,0
2,120,1,1,4,6,200,150,0.1,0,0,0,10,1000,1,159.138,100,0,0,0,0,0,0,0,0,17.9447,0,0,2622253,0,119.817,0,0,0,0,0,92597346,3258.42,1945.17,26.6194,11.5911,1300.2,0.596968,119.817,2.5061,0,latest,0,4984,0,0,0,0,0
3,120,1,1,4,6,200,150,0.1,0,0,0,10,1000,1,159.138,100,0,0,0,0,0,0,0,0,17.9447,0,0,2426286,0,119.82,0,0,0,0,0,99371715,3562.21,1891.86,26.1495,11.6141,1211.92,0.531091,119.82,2.93932,0,latest,0,5485,0,0,0,0,0
4,120,1,1,4,6,200,150,0.1,0,0,0,10,1000,1,159.138,100,0,0,0,0,0,0,0,0,17.9447,0,0,2447714,0,119.827,0,0,0,0,0,100890031,3515.84,1825.32,25.429,11.517,1193.8,0.519171,119.827,2.94508,0,latest,0,5590,0,0,0,0,0
5,120,1,1,4,6,200,150,0.1,0,0,0,10,1000,1,159.138,100,0,0,0,0,0,0,0,0,17.9447,0,0,2444537,0,119.822,0,0,0,0,0,100770846,3521.19,1807.64,24.9689,11.6239,1199.51,0.513361,119.822,2.93554,0,latest,0,5657,0,0,0,0,0
6,120,1,1,4,6,200,150,0.1,0,0,0,10,1000,1,159.138,100,0,0,0,0,0,0,0,0,17.9447,0,0,2447691,0,119.826,0,0,0,0,0,100869762,3516.65,1811.11,24.9751,11.516,1193.92,0.51501,119.826,2.94548,0,latest,0,5677,0,0,0,0,0
7,120,1,1,4,6,200,150,0.1,0,0,0,10,1000,1,159.138,100,0,0,0,0,0,0,0,0,17.9447,0,0,2432018,0,119.823,0,0,0,0,0,100455188,3527.29,1826.5,25.1399,11.4567,1198.76,0.51782,119.823,2.94245,0,latest,0,5576,0,0,0,0,0
8,120,1,1,4,6,200,150,0.1,0,0,0,10,1000,1,159.138,100,0,0,0,0,0,0,0,0,17.9447,0,0,2449813,0,119.823,0,0,0,0,0,101608697,3483.29,1808.54,25.1218,11.3289,1185.31,0.519205,119.823,2.93871,0,latest,0,5793,0,0,0,0,0
9,120,1,1,4,6,200,150,0.1,0,0,0,10,1000,1,159.138,100,0,0,0,0,0,0,0,0,17.9447,0,0,2421257,0,119.823,0,0,0,0,0,100671385,3514.12,1819.06,25.3412,11.5119,1196.14,0.517643,119.823,2.93789,0,latest,0,5719,0,0,0,0,0
