t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,c_backoff_strategy,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,18514284,0,2.27278,0,0,0,288552,0,675,1189.27,1811.3,50.7378,9.89926,2982.95,1.52303,2.27278,0.39869,0,latest,0,0,0,0,0,0,0
1,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2859571,0,118.955,0,0,0,0,0,5199240,42735.2,6406.76,29.2685,12.1441,23065.5,0.149918,118.955,1.85278,0,latest,0,8931830,0,0,0,0,0
2,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2875091,0,119.886,0,0,0,0,0,5332073,44403.3,6499.95,27.5727,12.1879,22640.1,0.146384,119.886,1.96126,0,latest,0,9417606,0,0,0,0,0
3,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2898573,0,119.927,0,0,0,0,0,6386760,58401.7,7213.19,28.8617,13.1017,18894.6,0.12351,119.927,3.09092,0,latest,0,13128064,0,0,0,0,0
4,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2874215,0,119.924,0,0,0,0,0,6504938,61994.2,7412.59,29.3099,13.3682,18549.1,0.119569,119.924,3.34216,0,latest,0,13693865,0,0,0,0,0
5,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2876098,0,119.92,0,0,0,0,0,6504213,62022.5,7416.41,29.3247,13.3726,18556.4,0.119576,119.92,3.34237,0,latest,0,13711795,0,0,0,0,0
6,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2878483,0,119.924,0,0,0,0,0,6492909,62136.3,7424.18,29.3488,13.3582,18586.7,0.119482,119.924,3.34305,0,latest,0,13709155,0,0,0,0,0
7,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2878500,0,119.918,0,0,0,0,0,6502892,62040.5,7417.21,29.3514,13.3406,18558.6,0.119554,119.918,3.34294,0,latest,0,13711142,0,0,0,0,0
8,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2890785,0,119.925,0,0,0,0,0,6568536,61412.8,7346.51,29.0844,13.2227,18370.4,0.119625,119.925,3.34302,0,latest,0,13799724,0,0,0,0,0
9,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2887760,0,119.923,0,0,0,0,0,6524060,61846.5,7392.18,29.2341,13.2923,18499.9,0.119525,119.923,3.34306,0,latest,0,13753573,0,0,0,0,0
10,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2880348,0,119.928,0,0,0,0,0,6493097,62126.7,7412.26,29.35,13.3887,18580,0.119309,119.928,3.34374,0,latest,0,13727533,0,0,0,0,0
11,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2877346,0,119.926,0,0,0,0,0,6191222,65137.7,7617.52,30.2254,14.1419,19484.7,0.116945,119.926,3.34302,0,latest,0,13720787,0,0,0,0,0
12,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2877239,0,119.924,0,0,0,0,0,6203525,65002.4,7608.75,30.279,14.1423,19449.4,0.117053,119.924,3.34213,0,latest,0,13730063,0,0,0,0,0
13,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2873171,0,119.926,0,0,0,0,0,6188707,65163.6,7617.92,30.2465,14.1541,19491,0.116905,119.926,3.34326,0,latest,0,13709479,0,0,0,0,0
14,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2877221,0,119.926,0,0,0,0,0,6201690,65011.5,7607.3,30.237,14.1601,19450.9,0.117015,119.926,3.34234,0,latest,0,13716602,0,0,0,0,0
15,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2875736,0,119.921,0,0,0,0,0,6192990,65107,7617.25,30.2586,14.1937,19476.4,0.116996,119.921,3.34287,0,latest,0,13718707,0,0,0,0,0
16,120,1,1,4,6,200,4,0.8,0,0,0,0,1,10000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,2873812,0,119.926,0,0,0,0,0,6203462,65006.7,7607.67,30.2824,14.1677,19445.8,0.117029,119.926,3.34298,0,latest,0,13724357,0,0,0,0,0
