t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,60,1,10,1,6,2,10,0.8,0,0,0,1,100,0,1,10000,0.5,11.0074,8.46345,7.89147,83.6451,50.3875,2.47682,0.0404249,714166,430734,430734,1.00315,19.4201,9292.29,523117,620262,2.12465,27.4923,787,9292.31,721384,0.280838,16,74250.9,44770.6,2498.75,494.812,139036,0.602964,2.12465,0.534039,0,latest,19,6,1573,0,0,0,0
1,60,1,10,1,6,2,10,0.8,0,0,0,1,100,0,1,10000,0.5,11.0074,9.59247,11.0131,79.3944,38.3653,2.2489,0.185149,37137,15535,15535,0.919748,7.23761,730.288,333,33694,54.0877,33.8998,1657,730.272,0,731.911,184313,527464,57677.9,295.96,45.4032,294379,0.109349,54.0877,1.79178,0,latest,46911,2684624,0,0,0,0,0
2,60,1,10,1,6,2,10,0.8,0,0,0,1,100,0,1,10000,0.5,11.0074,14.8595,10.1325,75.008,41.2349,2.73534,0.53267,55554,20671,20670,0.926829,7.58301,548.305,580,50158,55.5355,27.1014,204,548.352,0,548.149,813916,122128,14932.8,80.2696,15.5531,68444.3,0.122271,55.5355,1.78435,0,latest,35133,2675361,0,0,0,0,0
3,60,1,10,1,6,2,10,0.8,0,0,0,1,100,0,1,10000,0.5,11.0074,54.5701,4.63718,40.7927,23.3737,3.33287,4.58896,61747,2774,2775,1.00708,18.3234,56.0428,176797,51774,59.4591,13.7825,26,56.0584,0,54.5294,5773703,23476.7,5311.9,27.6475,10.2887,10331.4,0.226263,59.4591,2.27236,0,latest,3494,6502364,0,0,0,0,0
4,60,1,10,1,6,2,10,0.8,0,0,0,1,100,0,1,10000,0.5,11.0074,100,0,0,0,0,0,0,0,0,1.00708,18.3234,0,233529,0,59.9733,0,0,0,0,0,5944529,32463.1,5944.27,24.7933,10.9453,10120.5,0.183108,59.9733,3.20765,0,latest,0,8178775,0,0,0,0,0
5,60,1,10,1,6,2,10,0.8,0,0,0,1,100,0,1,10000,0.5,11.0074,100,0,0,0,0,0,0,0,0,1.00708,18.3234,0,233222,0,59.975,0,0,0,0,0,5950566,33758.5,6034.93,24.888,11.0483,10108.7,0.178768,59.975,3.33954,0,latest,0,8395118,0,0,0,0,0
6,60,1,10,1,6,2,10,0.8,0,0,0,1,100,0,1,10000,0.5,11.0074,100,0,0,0,0,0,0,0,0,1.00708,18.3234,0,233350,0,59.9746,0,0,0,0,0,5983754,33600,6021.71,24.8738,11.0406,10053.8,0.179218,59.9746,3.34201,0,latest,0,8413234,0,0,0,0,0
7,60,1,10,1,6,2,10,0.8,0,0,0,1,100,0,1,10000,0.5,11.0074,100,0,0,0,0,0,0,0,0,1.00708,18.3234,0,233517,0,59.9753,0,0,0,0,0,5959388,33737.9,6036.63,24.8971,11.0491,10094.5,0.178927,59.9753,3.3422,0,latest,0,8407233,0,0,0,0,0
8,60,1,10,1,6,2,10,0.8,0,0,0,1,100,0,1,10000,0.5,11.0074,100,0,0,0,0,0,0,0,0,1.00708,18.3234,0,233464,0,59.9753,0,0,0,0,0,5986264,33583.7,6016.95,24.87,11.0355,10049.4,0.179163,59.9753,3.34185,0,latest,0,8403974,0,0,0,0,0
9,60,1,10,1,6,2,10,0.8,0,0,0,1,100,0,1,10000,0.5,11.0074,100,0,0,0,0,0,0,0,0,1.00708,18.3234,0,233334,0,59.9751,0,0,0,0,0,5995066,33531.6,6013.49,24.8553,11.0337,10034.7,0.179338,59.9751,3.34157,0,latest,0,8414866,0,0,0,0,0
