t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,4708119,0,10.0023,0,0,0,3474895,0,7274,1441.92,1014.2,35.7162,10.1369,2087.06,0.703366,10.0023,0.690886,0,latest,0,0,704255,0,0,0,0
1,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2753389,0,119.023,0,0,0,0,0,71400135,3102.16,2002.6,43.2857,11.5922,1679.24,0.645553,119.023,1.84736,0,latest,0,3461,0,0,0,0,799
2,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2651171,0,119.775,0,0,0,0,0,76739559,3734.67,1996.45,41.6215,11.5134,1570.68,0.534572,119.775,2.37775,0,latest,0,4110,0,0,0,0,908
3,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2401577,0,119.776,0,0,0,0,0,83881709,4142.78,1998.14,38.7722,11.5328,1436.94,0.482318,119.776,2.88306,0,latest,0,4645,0,0,0,0,957
4,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2397730,0,119.794,0,0,0,0,0,84032857,4126.38,1997.81,38.8134,11.5299,1434.37,0.484156,119.794,2.87679,0,latest,0,4927,0,0,0,0,896
5,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2392417,0,119.76,0,0,0,0,0,83823415,4128.88,1995.4,38.8618,11.5215,1437.68,0.48328,119.76,2.8719,0,latest,0,4803,0,0,0,0,894
6,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2378929,0,119.77,0,0,0,0,0,86815090,3968.28,1934.58,37.0836,11.2882,1387.48,0.487511,119.77,2.86006,0,latest,0,4958,0,0,0,0,749
7,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2370666,0,119.773,0,0,0,0,0,86931440,3950.91,1934.66,36.9583,11.2861,1385.87,0.489674,119.773,2.85086,0,latest,0,4998,0,0,0,0,697
8,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2377364,0,119.802,0,0,0,0,0,87493057,3943.95,1934.58,36.8754,11.2857,1377.61,0.490518,119.802,2.86289,0,latest,0,5031,0,0,0,0,785
9,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2409380,0,119.794,0,0,0,0,0,88710901,3889.13,1912.75,36.2879,11.149,1358.23,0.49182,119.794,2.86339,0,latest,0,5050,0,0,0,0,729
10,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2382031,0,119.792,0,0,0,0,0,87884536,3925.19,1927.21,36.5085,11.2569,1370.59,0.490985,119.792,2.86387,0,latest,0,5125,0,0,0,0,683
11,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2379400,0,119.792,0,0,0,0,0,88758505,3893.72,1869.1,35.6043,11.1048,1357.74,0.48003,119.792,2.86779,0,latest,0,5155,0,0,0,0,442
12,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2374491,0,119.795,0,0,0,0,0,88377823,3903.82,1872.92,35.7445,11.128,1363.35,0.479766,119.795,2.86341,0,latest,0,5034,0,0,0,0,407
13,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2376546,0,120.275,0,0,0,0,0,88715547,3903.74,1872.91,35.8065,11.1224,1363.29,0.479773,120.275,2.86347,0,latest,0,5057,0,0,0,0,428
14,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2381976,0,119.792,0,0,0,0,0,88488185,3897.74,1872.31,35.7252,11.1224,1361.76,0.480358,119.792,2.86228,0,latest,0,4968,0,0,0,0,461
15,120,1,1,4,6,100,50,0.5,0,0,0,10,5000,1,53.0227,100,0,0,0,0,0,0,0,0,45.3204,0,0,2386493,0,119.796,0,0,0,0,0,88466065,3901.65,1859.84,35.7344,11.0888,1362.22,0.476681,119.796,2.86418,0,latest,0,5051,0,0,0,0,430
