t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_contention_management,c_backoff_strategy,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,14071214,0,2.88485,0,0,0,10434772,0,697,993.591,1355.44,55.2109,12.6327,3675.34,1.36419,2.88485,0.27034,0,latest,0,0,400788,0,0,0,0
1,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3693162,0,53.8631,0,0,0,0,0,43906689,2220.92,2303.36,33.8954,10.5973,1229.81,1.03712,53.8631,1.80591,0,latest,0,2322,0,0,0,0,0
2,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3687136,0,53.9413,0,0,0,0,0,50855115,2521.79,2301.3,31.7059,10.5719,1062.8,0.912565,53.9413,2.37279,0,latest,0,2896,0,0,0,0,0
3,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3626741,0,53.9447,0,0,0,0,0,56822149,2849.22,2301.6,29.853,10.5747,951.232,0.807798,53.9447,2.9953,0,latest,0,3447,0,0,0,0,0
4,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3593952,0,53.9451,0,0,0,0,0,57321535,2864.37,2301.64,29.8471,10.5761,942.903,0.803541,53.9451,3.03781,0,latest,0,3411,0,0,0,0,0
5,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3580157,0,53.9453,0,0,0,0,0,57675833,2878.72,2301.67,29.8098,10.577,937.122,0.799544,53.9453,3.07188,0,latest,0,3473,0,0,0,0,0
6,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3575195,0,53.9453,0,0,0,0,0,57526622,2879.32,2301.6,29.7951,10.5776,939.524,0.799355,53.9453,3.06466,0,latest,0,3457,0,0,0,0,0
7,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3575400,0,53.9452,0,0,0,0,0,57708285,2879.55,2301.53,29.8016,10.5752,936.521,0.799267,53.9452,3.07473,0,latest,0,3541,0,0,0,0,0
8,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3558981,0,53.9452,0,0,0,0,0,57919853,2893.88,2301.64,29.7447,10.5758,933.071,0.795348,53.9452,3.10146,0,latest,0,3508,0,0,0,0,0
9,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3569405,0,53.9454,0,0,0,0,0,57805198,2886.54,2301.73,29.7736,10.5763,934.951,0.7974,53.9454,3.08737,0,latest,0,3529,0,0,0,0,0
10,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3565932,0,53.9452,0,0,0,0,0,57800284,2886.69,2301.54,29.756,10.575,934.999,0.797293,53.9452,3.08738,0,latest,0,3473,0,0,0,0,0
11,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3559909,0,53.9453,0,0,0,0,0,57756404,2885.71,2301.55,29.7727,10.575,935.73,0.79757,53.9453,3.08391,0,latest,0,3461,0,0,0,0,0
12,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3563846,0,53.9454,0,0,0,0,0,57531616,2874.67,2301.61,29.8151,10.5758,939.414,0.800652,53.9454,3.06007,0,latest,0,3417,0,0,0,0,0
13,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3579618,0,53.9457,0,0,0,0,0,57351336,2861.76,2301.59,29.884,10.5758,942.355,0.804257,53.9457,3.03682,0,latest,0,3398,0,0,0,0,0
14,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3566841,0,53.9458,0,0,0,0,0,57525760,2870.21,2301.54,29.8301,10.5743,939.523,0.80187,53.9458,3.05497,0,latest,0,3540,0,0,0,0,0
15,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3570223,0,53.9453,0,0,0,0,0,57439108,2868.38,2301.58,29.8324,10.5758,941.009,0.802398,53.9453,3.04819,0,latest,0,3406,0,0,0,0,0
16,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3557561,0,53.9452,0,0,0,0,0,57545884,2875.48,2301.44,29.8056,10.5747,939.216,0.800369,53.9452,3.06157,0,latest,0,3366,0,0,0,0,0
17,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3558089,0,53.945,0,0,0,0,0,57453625,2871.7,2301.49,29.8503,10.5753,940.744,0.801436,53.945,3.05259,0,latest,0,3388,0,0,0,0,0
18,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3572101,0,53.9453,0,0,0,0,0,57109169,2851.73,2301.51,29.9161,10.5751,946.39,0.80706,53.9453,3.01327,0,latest,0,3523,0,0,0,0,0
19,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3581370,0,53.9451,0,0,0,0,0,57098020,2846.53,2301.55,29.9429,10.5752,946.586,0.808547,53.9451,3.00715,0,latest,0,3350,0,0,0,0,0
20,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3570925,0,53.9447,0,0,0,0,0,57167229,2852.33,2301.43,29.884,10.5746,945.479,0.806859,53.9447,3.01681,0,latest,0,3322,0,0,0,0,0
21,54,1,1,4,6,200,150,0.5,0,0,0,0,10,100000,0.1,159.222,100,0,0,0,0,0,0,0,0,17.9012,0,0,3558790,0,53.9455,0,0,0,0,0,57233312,2857.48,2301.41,29.8478,10.5756,944.382,0.8054,53.9455,3.02577,0,latest,0,3431,0,0,0,0,0
