t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,1214777,0,4.80771,0,0,0,3475360,0,1851,1880.75,1182.38,30.2139,7.35764,1843.98,0.628676,4.80771,1.01994,0,latest,0,22,671967,0,0,0,0
1,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2722206,0,119.313,0,0,0,0,0,5016469,77211.5,10481.4,33.5587,15.9341,23930.1,0.135749,119.313,3.22654,0,latest,0,13649569,0,0,0,0,0
2,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2736703,0,119.921,0,0,0,0,0,4997182,80720.1,10492.2,33.8825,16.1934,24141.7,0.129983,119.921,3.34359,0,latest,0,14033390,0,0,0,0,0
3,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2728402,0,119.921,0,0,0,0,0,4932183,81738.4,10747.5,33.5691,16.1817,24454.3,0.131486,119.921,3.3425,0,latest,0,14015431,0,0,0,0,0
4,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2736723,0,119.913,0,0,0,0,0,4731446,85198.8,11073.4,33.9218,16.5159,25493.4,0.129971,119.913,3.34199,0,latest,0,14063404,0,0,0,0,0
5,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2735884,0,119.923,0,0,0,0,0,5284208,76312.7,9978.29,33.0044,15.8632,22824.8,0.130755,119.923,3.34342,0,latest,0,14071368,0,0,0,0,0
6,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2731886,0,119.919,0,0,0,0,0,6494025,62081.1,8560.23,29.9029,14.0477,18573.4,0.137888,119.919,3.34247,0,latest,0,14009517,0,0,0,0,0
7,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2734993,0,119.916,0,0,0,0,0,5170376,77978.9,10443.9,32.8661,15.6855,23327.7,0.133932,119.916,3.34276,0,latest,0,14131821,0,0,0,0,0
8,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2726667,0,119.924,0,0,0,0,0,5819010,69288.3,9523.26,31.1463,14.5545,20728.3,0.137444,119.924,3.3427,0,latest,0,14078619,0,0,0,0,0
9,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2740113,0,119.924,0,0,0,0,0,4716286,85509.8,11274.3,34.0221,16.9474,25584.6,0.131848,119.924,3.34223,0,latest,0,14233743,0,0,0,0,0
