t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,21.9293,13.696,64.3747,8.63423,2.50754,0.145585,12305095,35868,35867,1.00692,0.337372,44406.2,441395,2848723,2.00024,51.1337,456339,44406.2,3475260,0.0936127,3,1.05821e+06,230405,9444,1560.67,434872,0.217732,2.00024,2.43337,0,latest,6,2,98022840,0,0,0,0
1,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,13.8602,9.03835,77.1014,42.9311,2.1851,0.187063,369730,33968,33969,1.00708,1.06184,1130,1567397,78431,96.7228,29.4481,3247,1130.26,0,1130.01,9084688,33405.6,5819.15,31.9535,11.3193,10711.9,0.174197,96.7228,3.11856,0,latest,72427,9333343,0,0,0,0,0
2,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,15.6853,11.6703,72.6444,34.6617,1.81603,0.333544,37138,7483,7482,0.790716,0.876947,129.217,2635435,7839,117.316,32.5409,491,129.232,0,148.969,11656353,33464.6,5623.71,25.4925,11.237,10096,0.16805,117.316,3.31463,0,latest,9552,13052172,0,0,0,0,0
3,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,13.3176,9.91192,76.7705,39.7359,1.19939,0.23168,35267,7255,7255,0.866404,0.575452,131.292,2618360,7259,116.6,31.5141,594,131.292,0,123.506,10362646,37411.9,6073.7,26.6022,11.8371,11283.8,0.162347,116.6,3.31553,0,latest,7917,12970636,0,0,0,0,0
4,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,13.1327,8.93842,77.9289,46.3779,0.989783,0.172296,46000,9245,9246,0.896302,0.588985,131.729,2616450,9553,117.327,26.0994,472,131.76,0,130.231,10508669,37178.8,6078.99,26.6411,11.937,11205.8,0.163507,117.327,3.31782,0,latest,8346,13132285,0,0,0,0,0
5,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,19.9573,8.70303,71.3397,35.3534,2.98794,0.550475,51100,10109,10109,0.980645,0.946971,114.863,2644021,10629,117.621,30.5529,441,114.878,0,106.906,9666807,40521.8,6448.41,27.7705,12.4542,12230.3,0.159135,117.621,3.31324,0,latest,6848,13455708,0,0,0,0,0
6,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,18.5009,8.38196,73.1171,39.717,2.50664,0.451739,43758,9069,9069,1.00425,1.18615,100.899,2643180,8945,117.125,28.2666,341,100.883,0,98.6366,13514024,28902.8,5253.72,24.0871,10.4505,8701.69,0.181772,117.125,3.32151,0,latest,6322,12958547,0,0,0,0,0
7,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,17.4593,9.72424,72.8165,36.7649,2.66349,0.479277,37146,7377,7377,1.00708,1.1391,110.884,2650447,7698,117.489,30.3902,381,110.884,0,110.635,11670129,33534.7,5760.57,25.7335,11.4833,10107.9,0.17178,117.489,3.31765,0,latest,7091,13170430,0,0,0,0,0
8,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,19.5395,9.16417,71.2964,35.5944,1.98826,0.365872,36405,7163,7163,1.00708,1.11109,110.323,2649725,7624,117.529,30.4716,423,110.385,0,110.323,10978296,35683.8,5859.56,26.34,11.7495,10748.8,0.164208,117.529,3.31979,0,latest,7071,13376370,0,0,0,0,0
9,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,15.6552,9.71222,74.6326,39.1747,1.73115,0.335603,38017,7732,7732,1.00708,1.15515,110.401,2660299,8197,117.465,30.0022,349,110.432,0,110.385,9658691,40514.3,6525.56,27.9301,12.2808,12209.9,0.161068,117.465,3.31814,0,latest,7075,13361667,0,0,0,0,0
