t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_contention_management,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,15482346,0,8.27425,0,0,0,10432727,0,4502,1533.4,997.016,37.2976,10.9247,2359.55,0.650198,8.27425,0.64987,0,latest,0,0,395633,0,0,0,0
1,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3444944,0,55.9023,0,0,0,0,0,46907095,2208.87,2026.41,32.3219,11.6612,1194.89,0.917394,55.9023,1.84859,0,latest,0,889,0,0,0,0,0
2,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3410264,0,55.9398,0,0,0,0,0,54434824,2533.26,2018.62,30.078,11.5976,1029.61,0.796849,55.9398,2.46041,0,latest,0,1155,0,0,0,0,0
3,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3268297,0,55.9437,0,0,0,0,0,60576434,2896.5,2013.42,29.0462,11.5873,925.266,0.695122,55.9437,3.13046,0,latest,0,1307,0,0,0,0,0
4,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3254951,0,55.9438,0,0,0,0,0,60860596,2907.91,2007.67,29.0485,11.5758,920.946,0.690416,55.9438,3.15753,0,latest,0,1392,0,0,0,0,0
5,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3248694,0,55.9432,0,0,0,0,0,60947865,2909.54,2002.06,29.0527,11.5582,919.619,0.688102,55.9432,3.16385,0,latest,0,1323,0,0,0,0,0
6,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3237455,0,55.9435,0,0,0,0,0,60888873,2907.25,1996.33,29.0211,11.5412,920.528,0.686672,55.9435,3.15824,0,latest,0,1402,0,0,0,0,0
7,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3246759,0,55.9437,0,0,0,0,0,60985483,2904.03,1990.62,29.0052,11.513,919.075,0.685467,55.9437,3.15973,0,latest,0,1334,0,0,0,0,0
8,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3247943,0,55.9426,0,0,0,0,0,60934043,2900.1,1985.09,28.9908,11.4957,919.856,0.684489,55.9426,3.15278,0,latest,0,1307,0,0,0,0,0
9,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3249442,0,55.9433,0,0,0,0,0,60778321,2893.99,1979.32,28.9599,11.4818,922.206,0.683941,55.9433,3.13811,0,latest,0,1362,0,0,0,0,0
10,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3254157,0,55.9431,0,0,0,0,0,60953106,2895.3,1973.76,28.933,11.4766,919.569,0.681711,55.9431,3.14854,0,latest,0,1351,0,0,0,0,0
11,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3249132,0,55.9431,0,0,0,0,0,61110389,2896.44,1968.11,28.8941,11.4714,917.21,0.679492,55.9431,3.15789,0,latest,0,1409,0,0,0,0,0
12,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3251095,0,55.9435,0,0,0,0,0,61175328,2894.85,1962.61,28.9202,11.4538,916.274,0.677966,55.9435,3.15938,0,latest,0,1355,0,0,0,0,0
13,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3253231,0,55.9425,0,0,0,0,0,61023613,2887.36,1957.11,28.8703,11.4352,918.529,0.677821,55.9425,3.14346,0,latest,0,1409,0,0,0,0,0
14,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3258553,0,55.9437,0,0,0,0,0,61000253,2885.12,1951.55,28.8062,11.4242,918.889,0.676419,55.9437,3.13979,0,latest,0,1416,0,0,0,0,0
15,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3262711,0,55.9433,0,0,0,0,0,61274288,2888.3,1946.03,28.7721,11.4181,914.78,0.673764,55.9433,3.15737,0,latest,0,1388,0,0,0,0,0
16,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3270468,0,55.9432,0,0,0,0,0,61267394,2884.65,1940.48,28.7434,11.414,914.923,0.67269,55.9432,3.15289,0,latest,0,1404,0,0,0,0,0
17,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3480910,0,55.9429,0,0,0,0,0,61383706,2816.05,1934.99,28.5958,11.3955,913.21,0.687127,55.9429,3.08368,0,latest,0,1393,0,0,0,0,0
18,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3482320,0,55.9433,0,0,0,0,0,61338868,2791.31,1929.57,28.515,11.3911,913.826,0.691277,55.9433,3.05453,0,latest,0,1475,0,0,0,0,0
19,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3477408,0,55.943,0,0,0,0,0,61713867,2798.05,1924.18,28.4195,11.394,908.243,0.687688,55.943,3.08073,0,latest,0,1400,0,0,0,0,0
20,56,1,1,4,6,200,150,0.5,0,0,0,10,1000,0.1,159.191,100,0,0,0,0,0,0,0,0,17.9173,0,0,3467136,0,55.943,0,0,0,0,0,62101734,2815.27,1918.76,28.3829,11.3944,902.574,0.681552,55.943,3.11916,0,latest,0,1391,0,0,0,0,0
