t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,7.55057,7.66485,84.7846,51.9674,2.45049,0.0268425,801920,529506,529506,1.04619,20.9089,10398.9,504989,700269,693343,1.82945,26.7137,554,10398.9,793521,0.124817,4,145678,125879,6331.5,1192.75,396999,0.864092,1.82945,0.366947,0,latest,8,1,1527,0,0,0,0
1,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,8.54279,13.9368,77.5204,43.9941,1.26441,0.102667,37101,20696,20696,0.937907,8.98645,713.656,569,33417,32965,112.748,25.8681,862,713.656,0,715.747,178340,1.15092e+06,118003,527.871,93.8412,636217,0.102529,112.748,1.809,0,latest,45875,5622034,0,0,0,0,0
2,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,12.1211,12.0255,75.8534,49.4887,1.46054,0.257402,51719,24672,24672,0.95037,9.62133,531.47,893,46472,45886,115.18,19.6303,15,531.517,0,531.252,477066,464085,47296.1,180.335,43.4097,242801,0.101913,115.18,1.91138,0,latest,34051,5585754,0,0,0,0,0
3,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,27.651,9.73792,62.6111,42.9053,1.86173,1.45976,98110,13621,13621,0.253172,21.025,279.777,47540,82186,81114,116.591,14.1023,98,279.777,0,293.601,3587206,97490.8,11562.3,42.8663,16.4244,32682.1,0.118599,116.591,2.98301,0,latest,18817,10554735,0,0,0,0,0
4,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,36.2604,14.8222,48.9174,17.0182,1.83239,2.76074,32303,546,545,0.380148,19.5784,134.833,151512,25231,24911,118.493,25.1984,419,134.833,0,132.29,4980077,79596.6,10067.1,34.6378,15.9754,23911,0.126476,118.493,3.32887,0,latest,8480,13935140,0,0,0,0,0
5,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,29.9878,13.8139,56.1983,16.1045,1.50714,2.0843,28031,506,507,0.19319,18.4559,124.739,150448,21912,21625,118.33,33.5635,389,124.739,0,128.749,4848814,81840.1,10335.6,35.2418,16.1051,24518.2,0.12629,118.33,3.33793,0,latest,8253,13779149,0,0,0,0,0
6,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,32.2619,16.0389,51.6992,17.8649,1.53759,2.47499,25775,505,505,0.40975,17.0147,125.55,154273,20266,20035,118.509,26.8743,394,125.55,0,121.135,4756307,83500.8,10373.6,35.5043,16.5687,25038.8,0.124234,118.509,3.33486,0,latest,7762,13884545,0,0,0,0,0
7,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,35.1709,14.9932,49.836,17.3011,1.68498,2.81469,29148,541,541,0.284332,16.3059,125.956,152468,23301,23000,118.414,25.9015,406,125.956,0,128.218,4526703,87520.5,11087.3,36.16,16.8832,26292.2,0.126682,118.414,3.32876,0,latest,8219,13795278,0,0,0,0,0
8,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,32.6854,15.419,51.8956,18.1802,1.47388,2.43545,27153,527,526,0.601382,15.2472,126.221,153874,21759,21524,118.48,26.7979,390,126.221,0,119.824,4556483,87207.8,10942.2,35.9376,16.5908,26136.1,0.125472,118.48,3.33668,0,latest,7679,13715358,0,0,0,0,0
9,120,1,10,1,6,2.02,11,0.8,20,0,0,0,0,1,100,0,1,1000,0.1,12.1082,40.1813,13.1496,46.6692,16.7649,1.79664,2.81606,38731,589,590,1.04619,17.1425,123.522,150377,30605,30293,118.478,23.6384,367,123.522,0,114.925,4499056,88255,10688.7,36.0231,16.8798,26477.3,0.121111,118.478,3.33324,0,latest,7366,13830143,0,0,0,0,0
