t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0074,8.22749,7.93595,83.8366,50.5125,2.44922,0.0357107,713566,445784,445784,0.992132,21.1259,9292.57,496279,622443,3.53026,27.4303,741,9292.57,721384,0.686493,37,92465.5,40166.5,2158.95,582.162,144055,0.434395,3.53026,0.641878,0,latest,44,28,1435,0,0,0,0
1,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0074,8.5326,10.5331,80.9343,41.4106,2.00013,0.158179,33860,19001,19001,0.941778,9.51928,660.515,567,29773,54.7002,31.9811,1197,660.531,0,661.608,154616,639065,69328.9,338.142,49.611,354874,0.108485,54.7002,1.80082,0,latest,42405,2788893,0,0,0,0,0
2,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0074,12.8798,8.91497,78.2053,42.079,3.02028,0.428006,47607,21275,21275,0.922109,9.25413,493.76,698,41975,56.407,29.1393,212,493.791,0,494.119,466630,214712,24329.6,103.833,17.9088,121249,0.113313,56.407,1.77084,0,latest,31670,2826489,0,0,0,0,0
3,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0074,35.45,6.40433,58.1457,32.583,3.42635,2.72276,70049,7166,7166,1.00708,18.3367,143.711,132190,58964,58.7984,20.075,24,143.742,0,142.088,5029265,27430.7,5598.74,29.7673,10.3386,11729.3,0.204105,58.7984,2.33865,0,latest,9107,5933806,0,0,0,0,0
4,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,85.2227,2.53036,12.247,6.98381,0,0,0,2,2,1.00708,18.3312,0.0312042,233399,0,59.9752,4.8583,0,0.0312042,2,0,5994272,32575.1,5937.77,24.9826,11.0441,10034.7,0.182279,59.9752,3.24626,0,latest,0,8323729,0,0,2,0,0
5,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,100,0,0,0,0,0,0,0,0,1.00708,18.3312,0,233463,0,59.9761,0,0,0,0,0,5986435,33514.9,6021.14,25.049,11.1462,10046.6,0.179656,59.9761,3.33594,0,latest,0,8527405,0,0,0,0,0
6,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,93.3775,0.441501,6.18102,2.53863,0,0,0,1,1,1.00708,18.3304,0.0156021,233337,0,59.9759,3.09051,0,0.0156021,1,0,6014891,33397.7,5993.65,25.0033,11.1262,9999.2,0.179463,59.9759,3.34003,0,latest,0,8452746,0,0,1,0,0
7,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,85.8839,2.77045,11.3456,3.43008,0,0,0,1,1,1.00708,18.3297,0.0156021,233375,0,59.9756,6.99208,1,0.0156021,1,0,5974248,33367.3,5983.03,25.048,11.1065,10068.3,0.179308,59.9756,3.3141,0,latest,0,8369778,0,0,1,0,0
8,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,80.2542,4.49153,15.2542,6.94915,0,0,0,2,2,1.00708,18.3281,0.0312042,233305,0,59.9753,7.62712,0,0.0312042,2,0,7717540,25862.4,5026.73,24.1619,9.9228,7794.48,0.194364,59.9753,3.31804,0,latest,0,7662394,0,0,2,0,0
9,60,1,10,1,6,2,10,0.8,120,0,1,0,1,100,0,1,10000,0.5,11.0075,100,0,0,0,0,0,0,0,0,1.00708,18.3281,0,233393,0,59.9755,0,0,0,0,0,7763548,25873,5015.03,24.245,9.90769,7747.82,0.193833,59.9755,3.33939,0,latest,0,7696701,0,0,0,0,0
