t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_contention_management,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,22.6032,13.8345,63.5623,8.66851,2.55895,0.154203,12134311,36501,36501,1.00677,0.389142,44405.2,462338,2848972,2.12398,50.2301,483272,44405.2,3475191,0.156021,36,88826.6,24302.6,984.278,161.611,43054.4,0.273596,2.12398,2.06313,0,latest,10,0,99430710,1,0,0,0
1,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,13.1871,11.0459,75.767,41.5956,2.18875,0.207148,212962,28246,28244,1.00708,0.532337,674.947,2256204,45311,104.523,29.6148,3238,671.655,0,674.916,1966209,173489,10114,75.5713,12.5611,53585.5,0.0582977,104.523,3.23761,0,latest,43259,1037276,0,495602,0,0,0
2,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,15.2649,12.2986,72.4365,48.3469,2.07069,0.188244,14513,4715,4716,1.00456,0.502124,46.0418,2949365,3011,119.583,19.3219,19,46.0262,0,46.2447,1964142,204906,12510.7,63.4981,13.2927,61332.7,0.0610556,119.583,3.34089,0,latest,2963,1891977,0,720798,0,0,0
3,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,18.941,11.101,69.958,47.2448,2.41223,0.262549,19383,6170,6171,1.00708,0.613061,45.4646,2946940,4018,119.569,17.9433,11,45.449,0,45.3085,1978314,203448,11807.4,62.8783,12.3755,60860.9,0.0580364,119.569,3.34283,0,latest,2904,1549463,0,655980,0,0,0
4,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,17.2861,11.5491,71.1649,48.2492,2.14792,0.280563,13322,4160,4160,1.00708,0.630055,32.39,2971720,2614,119.652,18.1477,1,32.39,0,32.39,2065452,194906,12442.4,62.7053,13.5532,58334.9,0.0638382,119.652,3.34115,0,latest,2076,2268144,0,751222,0,0,0
5,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,20.0164,10.3792,69.6044,47.1705,2.47853,0.271715,10520,3410,3410,1.00708,0.651613,25.2598,2969848,2071,119.721,17.658,3,25.2442,0,25.2598,1991805,202375,12090.8,62.6641,12.5576,60615,0.0597449,119.721,3.33869,0,latest,1619,1797066,0,677798,0,0,0
6,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,18.3631,11.9507,69.6863,43.3704,2.60987,0.328975,18590,5227,5227,1.00708,0.677262,55.4655,2936130,4065,119.282,21.5599,75,55.4499,0,55.4655,1924263,208228,11045.3,63.6628,11.5838,62402.6,0.0530443,119.282,3.33685,0,latest,3555,1059404,0,632451,0,0,0
7,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,13.34,8.69221,77.9678,48.1028,1.47453,0.150036,38914,7588,7588,1.00708,0.779701,111.508,2854402,8526,117.88,25.3737,335,111.43,0,111.493,2143623,183836,11878.5,62.1249,13.3917,55217.7,0.0646148,117.88,3.3293,0,latest,7146,2190795,0,694938,0,0,0
8,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,15.0016,9.94648,75.0519,41.7076,1.70705,0.2406,34862,7409,7409,1.00708,0.776397,107.53,2663147,7596,118.145,28.1629,375,107.53,0,107.545,2265190,173739,11502,60.16,13.1601,52389.9,0.0662032,118.145,3.31626,0,latest,6893,2468601,0,631003,0,0,0
9,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,15.3874,9.48669,75.1259,43.6848,1.29319,0.213548,34639,8290,8290,1.00708,0.812431,101.024,2665409,7442,118.584,26.199,250,100.961,0,101.024,2225909,177358,11700.6,61.0585,13.3445,53515.4,0.0659713,118.584,3.31415,0,latest,6475,2417358,0,734868,0,0,0
10,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,15.0116,9.76175,75.2266,44.0832,1.3772,0.178848,36169,8874,8874,1.00708,0.892368,101.601,2680063,7746,118.604,25.9588,256,101.554,0,101.601,2205437,180272,11167,60.8567,12.2643,54273.5,0.0619455,118.604,3.32154,0,latest,6512,1903943,0,587920,0,0,0
11,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,16.4234,12.4043,71.1722,42.9239,2.61452,0.355238,29999,8289,8289,1.00708,0.887175,91.4908,2677464,6443,118.832,23.1478,223,91.4596,0,91.4908,1996331,199462,10795.1,63.7492,11.9142,59973.8,0.054121,118.832,3.32581,0,latest,5864,1185226,0,580174,0,0,0
12,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,18.1124,12.8582,69.0294,41.2562,2.88169,0.411479,33248,8401,8401,1.00708,0.963965,83.4089,2687522,6572,119.023,22.7799,165,83.3933,0,83.4089,1988879,200615,11429.7,64.0222,12.4003,60272.9,0.0569733,119.023,3.32845,0,latest,5346,1377133,0,702235,0,0,0
13,120,1,1,4,6,10,50,0.75,0,0,25,1,1000,0.1,53.0272,17.0797,11.9844,70.9359,43.6743,2.63749,0.373875,29747,7893,7893,1.00708,0.975295,79.3991,2690444,5838,119.052,21.9364,154,79.3991,0,79.3991,2023905,197214,11864.6,63.9706,12.7526,59222.5,0.0601611,119.052,3.33005,0,latest,5089,1707009,0,742526,0,0,0
