t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0074,8.0531,8.20057,83.7463,50.235,2.46375,0.0241236,711574,436544,436544,1.00472,20.6751,9292.24,602265,621853,2.12795,27.8668,696,9292.26,721384,0.171623,9,114152,65468.6,3906.44,863.333,221097,0.573519,2.12795,0.5163,0,latest,12,2,1442,0,0,0,0
1,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0074,8.3868,11.2174,80.3958,43.7309,1.51091,0.108917,40077,20230,20230,0.875688,8.71518,743.628,560,35444,53.8044,29.3492,1105,743.612,0,746.14,193815,504797,54832.9,281.375,50.2873,278479,0.108624,53.8044,1.81269,0,latest,47823,2583700,0,0,0,0,0
2,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0074,14.9991,9.9947,75.0062,41.5253,2.67127,0.515569,63184,21217,21217,0.986625,9.93942,541.066,797,56153,55.4114,26.7354,243,541.081,0,538.944,1109015,90798.9,11441.9,55.9817,15.1636,50125.8,0.126013,55.4114,1.81142,0,latest,34543,2426575,0,0,0,0,0
3,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,74.9882,2.56119,22.4506,15.6467,1.83845,6.53207,64675,1301,1301,1.00708,21.0645,19.8927,196123,51970,59.7736,5.031,0,19.8927,2,19.487,5804305,22426,5295.22,24.2526,10.3953,10333.7,0.23612,59.7736,2.17017,0,latest,1248,6683871,0,0,2,0,0
4,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,100,0,0,0,0,0,0,0,0,1.00708,21.0645,0,233638,0,59.9725,0,0,0,0,0,5929245,32178,5916.36,24.795,11.0027,10145.3,0.183863,59.9725,3.17171,0,latest,0,8214451,0,0,0,0,0
5,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,75.3846,5.02564,19.5897,7.48718,0,0,0,2,2,1.00708,21.0629,0.0312042,233561,0,59.9732,10.9744,1,0.0312042,2,0,6547454,30658.7,5620.18,24.5527,10.6357,9184.9,0.183314,59.9732,3.33795,0,latest,0,8200400,0,0,2,0,0
6,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,89.4737,0.993049,9.53327,2.38332,0,0,0,1,1,1.00708,21.0622,0.0156021,232836,0,59.9734,6.55412,0,0.0156021,1,0,7761461,25895.7,5009.34,23.9284,9.86435,7749.53,0.193443,59.9734,3.34159,0,latest,0,7628918,0,0,1,0,0
7,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,100,0,0,0,0,0,0,0,0,1.00708,21.0622,0,233598,0,59.9735,0,0,0,0,0,7789040,25803.2,4995.95,23.8506,9.85502,7721.25,0.193618,59.9735,3.34184,0,latest,0,7606958,0,0,0,0,0
8,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,100,0,0,0,0,0,0,0,0,1.00708,21.0622,0,233616,0,59.9739,0,0,0,0,0,7801784,25761.8,4994.05,23.8485,9.85505,7708.86,0.193854,59.9739,3.34185,0,latest,0,7622072,0,0,0,0,0
9,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,90.5405,0.737101,8.72236,3.80835,0,0,0,1,1,1.00708,21.0614,0.0156021,233545,0,59.9739,4.29975,0,0.0156021,1,0,7785715,25816.4,4993.7,23.8657,9.83433,7724.45,0.193431,59.9739,3.34217,0,latest,0,7627985,0,0,1,0,0
10,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0076,1.3329,17.9411,80.726,32.3967,0.0182588,0.00182588,9,285,285,0.308419,17.2557,75.4362,220631,9,59.14,38.5061,262,75.4362,1,89.2597,7379867,26658,5093.23,24.3354,9.93917,8031.78,0.191058,59.14,3.31907,0,latest,5722,7395619,0,0,1,0,0
11,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,16.3906,10.3082,73.3012,38.6977,1.91929,0.783381,78712,18085,18085,1.00708,19.3556,558.4,9968,67767,55.4395,27.8133,744,558.415,0,544.623,1484269,115257,13729,45.6427,15.4666,37463.9,0.119117,55.4395,3.07648,0,latest,34906,4723933,0,0,0,4,0
12,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,91.4665,1.237,7.29652,4.98162,1.72553,8.62989,30584,122,122,1.00787,21.026,1.90346,219649,23758,59.9578,1.82413,0,1.90346,0,1.90346,4654228,41921.2,6943.56,27.1247,12.7252,12923.1,0.165634,59.9578,3.2439,0,latest,122,8565163,0,0,0,1,0
13,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,100,0,0,0,0,0,0,0,0,1.00787,21.0244,0,233783,0,59.9727,0,0,0,0,0,4671598,42650.5,6997.55,27.1212,12.7814,12876.7,0.164067,59.9727,3.31222,0,latest,0,8706094,0,0,0,0,0
14,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,64.1478,6.88497,28.9673,7.64064,0,0,0,3,3,1.00787,21.022,0.0468063,233457,0,59.9716,19.9832,2,0.0468063,3,0,6068341,33128.5,5839.41,24.6166,11.3574,9912.75,0.176266,59.9716,3.34201,0,latest,0,8539833,0,0,3,0,0
15,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0075,86.2581,2.97122,10.7707,3.52832,0,0,0,1,1,1.00787,21.0212,0.0156021,233380,0,59.974,6.77809,0,0.0156021,1,0,6081177,33055.4,5824.63,24.5256,11.3466,9889.74,0.176208,59.974,3.34239,0,latest,0,8518233,0,0,1,0,0
16,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0076,82.4697,2.64609,14.8842,4.5204,0,0,0,1,1,1.00787,21.0205,0.0156021,233551,0,59.9726,9.70232,0,0.0156021,1,0,6091210,33002.2,5817.38,24.5315,11.3203,9874.94,0.176273,59.9726,3.34201,0,latest,0,8536240,0,0,1,0,0
17,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0076,100,0,0,0,0,0,0,0,0,1.00787,21.0205,0,233649,0,59.9729,0,0,0,0,0,6106773,32917.2,5805.81,24.5304,11.2655,9850.44,0.176376,59.9729,3.3417,0,latest,0,8521048,0,0,0,0,0
18,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0076,87.124,1.74142,11.1346,4.43272,5.06596,5.43536,689,3,3,1.00787,21.1251,0.0468063,233279,535,59.9729,6.17414,0,0.0468063,3,0,5683725,35368.3,6004.97,25.7475,11.5489,10583.7,0.169784,59.9729,3.34177,0,latest,0,8319085,0,0,3,0,0
19,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0076,100,0,0,0,0,0,0,0,0,1.00787,21.1251,0,233783,0,59.9739,0,0,0,0,0,5412098,37144.7,6150.21,26.6074,11.6918,11114.8,0.165574,59.9739,3.34192,0,latest,0,8149563,0,0,0,0,0
20,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0076,0.767294,17.6144,81.6183,27.5678,0.0359669,0.00171271,55,527,527,0.43509,13.5649,150.685,206355,43,58.4813,44.6486,664,150.685,0,161.778,4804946,40126.4,6474.72,27.852,11.8928,12201.8,0.161358,58.4813,3.28855,0,latest,10369,7630332,0,0,0,0,0
21,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0076,19.7926,9.43282,70.7745,38.2803,1.85707,1.04241,93742,17238,17238,1.00787,21.4902,486.786,18009,79832,55.7574,25.8008,524,486.801,0,475.724,2056318,84354.5,10341.4,41.3641,14.1698,27202.4,0.122594,55.7574,3.10099,0,latest,30491,4348400,0,0,0,2,0
22,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0076,95.1265,0.787332,4.08621,2.88102,1.28876,9.63272,16055,24,24,1.00865,21.1802,0.374451,226296,12356,59.9695,1.01605,0,0.374451,5,0.29644,5788976,33165.7,5863.03,24.7472,11.1032,10392.1,0.17678,59.9695,3.19142,0,latest,19,8201177,0,0,5,1,0
23,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0077,79.9296,5.28169,14.7887,9.74178,0,0,0,2,2,1.00865,21.1786,0.0312042,233372,0,59.9736,4.34272,0,0.0312042,2,0,6776612,28903.5,5126.06,26.9283,9.90521,8875.87,0.177351,59.9736,3.25642,0,latest,0,6988740,0,0,2,0,0
24,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0077,100,0,0,0,0,0,0,0,0,1.00865,21.1786,0,233438,0,59.9743,0,0,0,0,0,7047497,28501.4,5012.26,27.3236,9.70886,8534.92,0.17586,59.9743,3.33938,0,latest,0,6811343,0,0,0,0,0
25,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0077,84.7561,2.78746,12.4564,3.74564,3.48432,3.04878,167,1,1,1.00865,21.2006,0.0156021,233339,129,59.9753,8.27526,1,0.0156021,1,0,7039845,28550.3,5033.26,27.3441,9.70777,8543.5,0.176294,59.9753,3.34176,0,latest,0,6801676,0,0,1,0,0
26,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0077,100,0,0,0,0,0,0,0,0,1.00865,21.2006,0,233501,0,59.9743,0,0,0,0,0,7037867,28564.8,5038.78,27.3616,9.71477,8546.83,0.176398,59.9743,3.34215,0,latest,0,6808618,0,0,0,0,0
27,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0077,80.5869,4.40181,15.0113,3.95034,0,0,0,1,1,1.00865,21.1998,0.0156021,233543,0,59.9744,10.2709,1,0.0156021,1,0,7055773,28491.7,5021.9,27.3589,9.73077,8524.67,0.176258,59.9744,3.34227,0,latest,0,6812098,0,0,1,0,0
28,60,1,10,1,6,2,10,0.8,60,0,1,0,1,100,0,1,10000,0.5,11.0077,100,0,0,0,0,0,0,0,0,1.00865,21.1998,0,233687,0,59.9738,0,0,0,0,0,7050337,28515.5,5020.57,27.3795,9.72955,8531.56,0.176065,59.9738,3.34235,0,latest,0,6808927,0,0,0,0,0
