t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_contention_management,c_backoff_strategy,c_contention_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,7.54318,7.94491,84.5119,51.5514,2.54571,0.0459127,1553942,1024888,1024888,1.00629,22.0944,20547.4,518344,1345041,2.18545,26.8083,804,20547.4,1442766,0.187225,5,155362,83459.2,6130.8,1667.8,457903,0.537193,2.18545,0.339289,0,latest,13,9,3111,0,0,0,0
1,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,7.83837,11.2827,80.8789,42.4656,2.03604,0.11794,32860,20719,20719,0.905586,10.8662,637.409,724,28470,54.596,30.7843,1141,637.393,0,639.359,143551,679859,74214.8,315.348,48.1741,381530,0.109162,54.596,1.78193,0,latest,40979,2770437,0,0,0,0,0
2,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,11.8453,9.00578,79.1489,43.8556,2.92547,0.330288,46626,23970,23970,0.925256,10.6208,489.345,828,40782,56.4476,28.0921,111,489.36,0,488.986,412204,241336,27499.8,114.107,20.1376,137368,0.113948,56.4476,1.75686,0,latest,31341,2801413,0,0,0,0,0
3,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,32.5522,6.60373,60.8441,34.7706,3.45275,2.29775,90039,10710,10710,1.00708,21.9504,187.241,102893,73610,58.3075,20.3134,13,187.288,0,185.681,4464768,30049.2,5953.65,31.1225,10.4392,13102.3,0.19813,58.3075,2.29343,0,latest,11900,5523893,0,0,0,0,0
4,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,100,0,0,0,2.61969,4.47154,773,0,0,1.00708,21.8222,0,233203,588,59.9746,0,0,0,0,0,5957172,32385.7,6060.39,24.3208,11.0292,10096.8,0.187132,59.9746,3.20752,0,latest,0,8182256,0,0,0,0,0
5,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,4.27919,18.017,77.7038,29.0224,0.00633955,0.00633955,2,83,82,0.34225,20.8749,19.1282,229835,2,59.683,40.0342,85,19.1282,0,31.9843,5888147,33877,6159.97,23.8893,11.1235,10161.2,0.181833,59.683,3.33395,0,latest,2050,8251757,0,0,0,0,0
6,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,16.3401,11.6047,72.0552,40.2494,1.67558,0.755403,77680,21221,21222,1.00629,20.5924,629.935,3516,66396,54.4966,24.7538,976,629.966,1,617.048,1451539,116793,14194.4,51.6079,16.4972,37662.9,0.121535,54.4966,3.10101,0,latest,39549,4594697,0,0,1,0,0
7,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,89.8562,1.0019,9.1419,6.25437,1.22325,8.10505,39087,215,215,1.00708,22.6459,3.35445,214971,29815,59.9509,2.24179,1,3.35445,2,3.33885,6146575,30419.7,5745.87,23.8634,11.1802,9783.8,0.188886,59.9509,3.10919,0,latest,214,8093170,0,0,2,0,0
8,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,74.898,3.97959,21.1224,5.61224,0,0,0,1,1,1.00708,22.6452,0.0156021,233271,0,59.9728,14.6939,1,0.0156021,1,0,6121571,31815.5,5862.07,23.9203,11.2989,9826.63,0.184252,59.9728,3.23768,0,latest,0,8339668,0,0,1,0,0
9,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,80.8924,3.54691,15.5606,4.34783,0,0,0,1,1,1.00708,22.6444,0.0156021,233466,0,59.974,10.4119,1,0.0156021,1,0,5611257,35779.2,6169.68,25.6804,11.6355,10720.1,0.172438,59.974,3.33758,0,latest,0,8224157,0,0,1,0,0
10,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.015,2.01712,19.4614,78.5215,26.3052,0.0211882,0,12,217,217,0.338316,19.8293,56.0272,222454,9,59.3478,42.707,253,56.2768,1,69.133,5190404,38125.5,6388.63,26.5361,11.8342,11459.8,0.167569,59.3478,3.32689,0,latest,4431,7943934,0,0,1,0,0
11,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,18.726,12.7025,68.5716,39.6844,1.1379,0.918583,89521,20815,20815,1.00708,21.4878,585.142,8442,75059,54.6918,22.2284,618,584.923,1,572.051,1814226,91593.9,11821.7,52.8072,15.4257,30243.9,0.129066,54.6918,3.0285,0,latest,36665,4657763,0,0,1,3,2
12,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.0149,95.9985,0.64335,3.35812,2.01201,3.4114,7.75913,26227,59,59,1.00708,22.7215,0.920525,171037,19866,59.9673,1.11255,0,0.920525,2,0.904922,5721825,33446.1,6031.44,28.8023,11.182,10514.2,0.180333,59.9673,3.18104,0,latest,58,8150807,0,0,2,1,1
13,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.015,80,2.44275,17.5573,5.19084,0,0,0,2,2,1.00708,22.7183,0.0312042,181022,0,59.9746,11.2977,2,0.0312042,2,0,5734624,34449.2,6092.21,28.8657,11.2175,10489.8,0.176846,59.9746,3.28406,0,latest,0,8341135,0,0,2,0,0
14,60,1,10,1,6,2,20,0.8,120,0,1,0,1,100,0,1,5000,0.5,22.015,93.6858,0.587372,5.72687,1.98238,0,0,0,1,1,1.00708,22.7175,0.0156021,181674,0,59.9741,3.45081,0,0.0156021,1,0,5940876,33845,6022.71,28.6967,11.1699,10126.8,0.17795,59.9741,3.34211,0,latest,0,8547847,0,0,1,0,0
