t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,7.79084,7.8346,84.3746,53.3273,2.78349,0.0594164,8605304,6033123,6033122,1.00551,24.6672,110588,743926,7216503,7119383,1.97704,25.1321,8157,110588,7213833,0.29644,8,95491.5,99245.6,4766.38,802,284066,1.03931,1.97704,0.33616,0,latest,19,12,20682,0,0,0,0
1,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,9.35829,12.1074,78.5343,43.6016,1.83313,0.130433,39840,22827,22828,0.959874,13.5264,698.819,873,33944,33462,54.3216,26.8322,3902,698.819,0,699.677,170666,569523,67628.2,312.716,48.9232,319291,0.118745,54.3216,1.78372,0,latest,44846,2657264,0,0,0,0,0
2,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,12.9501,9.22292,77.827,44.4212,3.28123,0.394386,50587,23828,23828,0.911094,13.4359,476.161,994,43375,42793,56.0411,25.8007,1623,476.176,0,477.113,495023,200038,24903.4,102.43,23.6385,113549,0.124493,56.0411,1.76168,0,latest,30579,2486330,0,0,0,0,0
3,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,11.1436,9.81993,79.0365,47.3632,2.2504,0.232216,50518,26208,26208,0.952006,14.1039,548.211,992,43273,42695,55.7073,24.2821,1463,548.227,0,547.431,250372,436417,51157.8,214.131,41.8687,223119,0.117222,55.7073,1.95598,0,latest,35089,2816597,0,0,0,0,0
4,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,37.2073,8.66716,54.1255,32.5549,3.12687,2.09015,109111,13007,13007,0.349331,24.6168,231.863,64126,86508,85444,57.7214,16.1558,437,231.863,0,243.549,3482984,43335.6,8044.92,37.9048,12.5577,16614.4,0.185643,57.7214,2.60832,0,latest,15609,5762529,0,0,0,0,0
5,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,15.013,13.0866,71.9004,41.1427,1.62475,0.557101,65800,22968,22968,1.00708,18.3698,609.325,1866,55271,54648,54.7544,23.0514,3101,609.34,0,596.578,1251970,124106,16268,62.1343,16.766,43855.2,0.131082,54.7544,2.82989,0,latest,38236,4054849,0,0,0,0,0
6,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,75.568,4.93969,19.4923,8.82681,2.37356,5.34924,63349,486,486,0.61369,24.0472,38.4124,149535,47615,47036,59.548,8.31635,335,38.4124,0,46.2291,5659650,32461.1,6782.57,25.3488,11.5354,10547.8,0.208945,59.548,3.07753,0,latest,2965,8139896,0,0,0,0,0
7,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,16.2094,12.573,71.2176,39.8847,1.55502,0.746408,82302,21509,21509,1.00708,24.2589,601.758,4529,68070,67432,54.8008,23.9515,2912,601.805,0,593.988,1299325,124925,15343.9,57.3245,17.0327,42307.3,0.122825,54.8008,2.95279,0,latest,38069,4589344,0,0,0,0,0
8,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,53.2408,9.34612,37.4131,16.5436,0.752429,5.07347,38912,455,454,0.45712,22.3572,55.0911,205185,28751,28485,59.3597,16.0202,750,55.0911,0,65.7317,4225450,44134.2,6828.93,31.7835,13.6533,14083.4,0.154731,59.3597,3.13377,0,latest,4215,8393790,0,0,0,0,0
9,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,15.7837,10.9392,73.2771,43.4944,1.31641,0.698846,81850,24039,24040,1.00708,22.9064,598.887,3206,68110,67567,54.6941,22.287,3262,598.934,0,588.246,1574925,103860,12047.5,56.4125,14.6566,34830.7,0.115997,54.6941,2.98184,0,latest,37701,4285235,0,0,0,0,0
10,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,53.2644,8.33806,38.3976,16.2502,0.784868,4.77017,47427,427,427,0.472856,22.1802,69.4762,200261,35236,34949,59.2367,16.8107,974,69.4762,0,80.0388,5332777,34535.5,5815.48,33.6823,11.6937,11133.5,0.168391,59.2367,3.10195,0,latest,5132,8261590,0,0,0,0,0
11,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,16.7407,12.1818,71.0775,39.8448,1.36256,0.720592,81932,21747,21747,1.00708,23.2148,566.029,6070,67616,67169,54.9949,23.382,3096,566.045,0,555.451,1313566,125619,13735.7,70.8894,17.8149,41994.8,0.109344,54.9949,2.9913,0,latest,35599,3852864,0,0,0,0,0
12,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,51.611,11.1046,37.2844,14.7836,1.1639,3.8877,39832,484,484,0.274587,21.2313,77.7297,153985,29702,29507,59.1236,17.4088,812,77.7297,0,92.2553,4283759,42929.2,6977.5,37.0299,12.9021,13834.2,0.162535,59.1236,3.10312,0,latest,5915,8340142,0,0,0,0,0
13,60,1,10,1,6,2,100,0.8,60,0,0,0,1,100,0,1,2000,0.5,110.074,18.0692,12.4065,69.5243,40.7729,1.09765,0.882028,93024,22742,22742,1.00708,23.9205,576.779,11737,76822,76310,55.0965,21.8328,2209,576.514,0,562.269,1827335,88531.9,10946.8,52.7772,13.8564,30242.1,0.123648,55.0965,2.92744,0,latest,36036,4893231,0,0,0,0,0
