t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_contention_management,c_backoff_strategy,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,19186341,0,2.57384,0,0,0,288552,0,688,848.677,1083.23,41.8081,8.47674,2944.98,1.27638,2.57384,0.288177,0,latest,0,2,0,0,0,0,0
1,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3680692,0,53.8895,0,0,0,0,0,5865430,16676.8,4330.31,25.6131,10.1459,9219.98,0.259661,53.8895,1.80876,0,latest,0,5983885,0,0,0,0,0
2,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3689029,0,53.9638,0,0,0,0,0,5951949,17337.5,4356.43,24.7543,10.1455,9095.72,0.251272,53.9638,1.90611,0,latest,0,6133810,0,0,0,0,0
3,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3687898,0,53.9742,0,0,0,0,0,6263410,26024.4,4878.26,24.2163,10.7334,8642.34,0.187449,53.9742,3.01127,0,latest,0,7716357,0,0,0,0,0
4,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3688177,0,53.9767,0,0,0,0,0,6278365,28341.5,5020.31,23.933,10.88,8622.49,0.177136,53.9767,3.28693,0,latest,0,8095995,0,0,0,0,0
5,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3682915,0,53.977,0,0,0,0,0,6298806,28423.7,5020.54,23.9148,10.8913,8592.78,0.176632,53.977,3.30786,0,latest,0,8122626,0,0,0,0,0
6,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3686720,0,53.9761,0,0,0,0,0,5914652,30330.2,5159.59,24.242,11.5546,9152.57,0.170114,53.9761,3.31385,0,latest,0,8172624,0,0,0,0,0
7,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3687164,0,53.9767,0,0,0,0,0,5891415,30661.8,5183.59,24.2627,11.5754,9188.8,0.169057,53.9767,3.33686,0,latest,0,8197829,0,0,0,0,0
8,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3685991,0,53.9773,0,0,0,0,0,5895313,30683.2,5183.34,24.2625,11.5737,9182.03,0.16893,53.9773,3.34166,0,latest,0,8203741,0,0,0,0,0
9,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3684993,0,53.9764,0,0,0,0,0,5891483,30701.8,5185.68,24.2824,11.5788,9188.07,0.168905,53.9764,3.34149,0,latest,0,8203630,0,0,0,0,0
10,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3681471,0,53.9771,0,0,0,0,0,5870083,30815.9,5202.33,24.3427,11.6017,9221.36,0.16882,53.9771,3.3418,0,latest,0,8217664,0,0,0,0,0
11,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3685985,0,53.9768,0,0,0,0,0,5624951,31860.1,5383.78,25.3187,11.9354,9623.44,0.168982,53.9768,3.31068,0,latest,0,8325927,0,0,0,0,0
12,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3685638,0,53.977,0,0,0,0,0,5626929,31680.8,5370.96,25.2982,11.9185,9619.27,0.169533,53.977,3.29347,0,latest,0,8295276,0,0,0,0,0
13,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3685578,0,53.9767,0,0,0,0,0,5617472,31154.4,5334.56,25.301,11.8801,9635.79,0.17123,53.9767,3.23319,0,latest,0,8192129,0,0,0,0,0
14,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3685550,0,53.9765,0,0,0,0,0,5604922,30838.5,5315.13,25.3374,11.8543,9657.89,0.172354,53.9765,3.19308,0,latest,0,8119733,0,0,0,0,0
15,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3686145,0,53.977,0,0,0,0,0,5584696,30594.8,5321.65,25.3345,11.8492,9692.31,0.17394,53.977,3.1566,0,latest,0,8083754,0,0,0,0,0
16,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3684005,0,53.9767,0,0,0,0,0,5173890,32954.8,5748.65,25.4805,12.1354,10462.4,0.17444,53.9767,3.14982,0,latest,0,8075149,0,0,0,0,0
17,54,1,1,4,6,200,4,0.8,0,0,0,0,1,5000,0.1,4.40295,100,0,0,0,0,0,0,0,0,97.7297,0,0,3687529,0,53.9766,0,0,0,0,0,5178808,32860.2,5747.2,25.4149,12.1433,10452.8,0.174898,53.9766,3.14369,0,latest,0,8094122,0,0,0,0,0
