t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.21,100,0,0,0,0,0,0,0,0,17.9073,0,0,7641923,0,2.61942,0,0,0,10433990,0,822,835.109,1588.42,52.073,11.8297,3374.65,1.90205,2.61942,0.247466,0,latest,0,1,384120,0,0,0,0
1,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.21,100,0,0,0,0,0,0,0,0,17.9073,0,0,3687842,0,53.8682,0,0,0,0,0,43084446,2266.27,2304.69,31.3034,9.45032,1253.39,1.01695,53.8682,1.80812,0,latest,0,1895038,0,0,0,0,0
2,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.21,100,0,0,0,0,0,0,0,0,17.9073,0,0,3660871,0,53.9457,0,0,0,0,0,49468396,2696.68,2331.11,29.927,9.48598,1092.64,0.864439,53.9457,2.46805,0,latest,0,2973018,0,0,0,0,0
3,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.21,100,0,0,0,0,0,0,0,0,17.9073,0,0,3537651,0,53.9504,0,0,0,0,0,51486697,3297.17,2386.9,28.8163,9.59473,1049.94,0.723925,53.9504,3.14034,0,latest,0,4702878,0,0,0,0,0
4,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.21,100,0,0,0,0,0,0,0,0,17.9073,0,0,3557309,0,53.9514,0,0,0,0,0,50047794,3372.01,2400.61,29.0045,9.61901,1080.04,0.711924,53.9514,3.12213,0,latest,0,4949210,0,0,0,0,0
5,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.21,100,0,0,0,0,0,0,0,0,17.9073,0,0,3545239,0,53.9516,0,0,0,0,0,50681614,3371.66,2400.66,29.1166,9.61905,1066.48,0.71201,53.9516,3.1615,0,latest,0,5016780,0,0,0,0,0
6,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.21,100,0,0,0,0,0,0,0,0,17.9073,0,0,3522902,0,53.9513,0,0,0,0,0,50560966,3393.76,2403.21,29.0601,9.62422,1069.11,0.708126,53.9513,3.17437,0,latest,0,5076384,0,0,0,0,0
7,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.21,100,0,0,0,0,0,0,0,0,17.9073,0,0,3511881,0,53.9512,0,0,0,0,0,50916725,3351.13,2395.68,29.0178,9.61134,1061.59,0.714888,53.9512,3.15671,0,latest,0,4902504,0,0,0,0,0
8,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.21,100,0,0,0,0,0,0,0,0,17.9073,0,0,3500984,0,53.9518,0,0,0,0,0,50855674,3371.65,2398.9,29.0386,9.61604,1062.81,0.71149,53.9518,3.17239,0,latest,0,4992771,0,0,0,0,0
9,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.21,100,0,0,0,0,0,0,0,0,17.9073,0,0,3510689,0,53.9519,0,0,0,0,0,50856716,3382.52,2400.59,29.0567,9.62142,1062.79,0.709703,53.9519,3.18269,0,latest,0,5034028,0,0,0,0,0
