t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_contention_management,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.196,100,0,0,0,0,0,0,0,0,17.9144,0,0,13627023,0,3.90543,0,0,0,10433091,0,1417,1132.48,1180.15,39.8349,10.0868,2602.73,1.0421,3.90543,0.435112,0,latest,0,1,331745,0,0,0,0
1,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.196,100,0,0,0,0,0,0,0,0,17.9144,0,0,3404893,0,53.9189,0,0,0,0,0,15831526,6271.44,2902.83,28.597,10.4176,3415.96,0.462866,53.9189,1.83593,0,latest,0,5351696,0,0,0,0,0
2,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.196,100,0,0,0,0,0,0,0,0,17.9144,0,0,3413667,0,53.9678,0,0,0,0,0,15725209,8688.02,3050.47,27.6812,10.6021,3440.2,0.351112,53.9678,2.52544,0,latest,0,6314694,0,0,0,0,0
3,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.196,100,0,0,0,0,0,0,0,0,17.9144,0,0,3406541,0,53.9738,0,0,0,0,0,15954000,11159.8,3202.06,27.9912,10.8085,3391.09,0.28693,53.9738,3.2909,0,latest,0,7452069,0,0,0,0,0
4,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.196,100,0,0,0,0,0,0,0,0,17.9144,0,0,3408499,0,53.9736,0,0,0,0,0,15998131,11302.5,3209.91,28.0136,10.817,3381.7,0.284,53.9736,3.34225,0,latest,0,7528120,0,0,0,0,0
5,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.196,100,0,0,0,0,0,0,0,0,17.9144,0,0,3677423,0,53.9726,0,0,0,0,0,16137797,10988.3,3193.51,28.2789,10.7988,3352.34,0.290628,53.9726,3.27781,0,latest,0,7486653,0,0,0,0,0
6,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.196,100,0,0,0,0,0,0,0,0,17.9144,0,0,3688363,0,53.9716,0,0,0,0,0,16158988,10881.8,3185.67,28.402,10.79,3348.09,0.292753,53.9716,3.25015,0,latest,0,7444376,0,0,0,0,0
7,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.196,100,0,0,0,0,0,0,0,0,17.9144,0,0,3692919,0,53.9732,0,0,0,0,0,16171709,10982.4,3193.02,28.5534,10.7979,3345.35,0.290739,53.9732,3.28289,0,latest,0,7498054,0,0,0,0,0
8,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.196,100,0,0,0,0,0,0,0,0,17.9144,0,0,3685237,0,53.9729,0,0,0,0,0,16156970,11164.9,3205.9,28.7198,10.8156,3348.27,0.287142,53.9729,3.33452,0,latest,0,7584758,0,0,0,0,0
9,54,1,1,4,6,200,150,0.75,0,0,0,10,100000,0.1,159.196,100,0,0,0,0,0,0,0,0,17.9144,0,0,3689449,0,53.9728,0,0,0,0,0,16199067,11161.1,3205.34,28.7206,10.8176,3339.71,0.28719,53.9728,3.34192,0,latest,0,7601010,0,0,0,0,0
