t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,tpcc_warehouse_count,tpcc_warehouse_affinity,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,5.48929,100,0,0,0,0,0,0,0,0,97.1696,0,0,5817596,0,3.45073,0,0,0,359746,0,43,20393.4,18396.9,894.07,280.302,54214.2,0.902101,3.45073,0.376163,10,stock,0,0,6909,0,0,0,0
0,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,5.48929,100,0,0,0,0,0,0,0,0,97.1696,0,0,5817596,0,3.45073,0,0,0,359746,0,43,20393.4,18396.9,894.07,280.302,54214.2,0.902101,3.45073,0.376163,9,item,0,0,0,0,0,0,0
0,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,5.48929,100,0,0,0,0,0,0,0,0,97.1696,0,0,5817596,0,3.45073,0,0,0,359746,0,43,20393.4,18396.9,894.07,280.302,54214.2,0.902101,3.45073,0.376163,8,orderline,0,0,1933,0,0,0,0
0,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,5.48929,100,0,0,0,0,0,0,0,0,97.1696,0,0,5817596,0,3.45073,0,0,0,359746,0,43,20393.4,18396.9,894.07,280.302,54214.2,0.902101,3.45073,0.376163,7,order_wdc,0,0,189,0,0,0,0
0,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,5.48929,100,0,0,0,0,0,0,0,0,97.1696,0,0,5817596,0,3.45073,0,0,0,359746,0,43,20393.4,18396.9,894.07,280.302,54214.2,0.902101,3.45073,0.376163,6,order,0,0,286,0,0,0,0
0,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,5.48929,100,0,0,0,0,0,0,0,0,97.1696,0,0,5817596,0,3.45073,0,0,0,359746,0,43,20393.4,18396.9,894.07,280.302,54214.2,0.902101,3.45073,0.376163,5,neworder,0,0,105,0,0,0,0
0,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,5.48929,100,0,0,0,0,0,0,0,0,97.1696,0,0,5817596,0,3.45073,0,0,0,359746,0,43,20393.4,18396.9,894.07,280.302,54214.2,0.902101,3.45073,0.376163,1,district,0,2,0,1,0,0,0
0,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,5.48929,100,0,0,0,0,0,0,0,0,97.1696,0,0,5817596,0,3.45073,0,0,0,359746,0,43,20393.4,18396.9,894.07,280.302,54214.2,0.902101,3.45073,0.376163,0,warehouse,0,0,0,2,0,0,0
0,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,5.48929,100,0,0,0,0,0,0,0,0,97.1696,0,0,5817596,0,3.45073,0,0,0,359746,0,43,20393.4,18396.9,894.07,280.302,54214.2,0.902101,3.45073,0.376163,2,customer,0,0,576,0,0,0,0
0,60,1,20,4,6,200,0,0,0,0,0,1,100,30,0,5.48929,100,0,0,0,0,0,0,0,0,97.1696,0,0,5817596,0,3.45073,0,0,0,359746,0,43,20393.4,18396.9,894.07,280.302,54214.2,0.902101,3.45073,0.376163,3,customerwdl,0,0,263,0,0,0,0
