t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_contention_management,ycsb_read_ratio,ycsb_target_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,1,4,6,200,100,0.75,0,0,0,100,1.52588e-05,100,0,0,0,0,0,0,0,0,100,0,0,101083,0,1.24585,0,0,0,1,0,0,inf,inf,inf,inf,inf,1.05539,1.24585,0.730815,0,ycsb,0,0,0,0,0,0,0
1,120,1,1,4,6,200,100,0.75,0,0,0,100,16.5513,100,0,0,0,0,0,0,0,0,91.4679,0,0,1901625,0,118.914,0,0,0,1084747,0,0,inf,inf,inf,inf,inf,1.82065,118.914,2.75651,0,ycsb,0,0,124270,0,0,0,0
2,120,1,1,4,6,200,100,0.75,0,0,0,100,35.3711,100,0,0,0,0,0,0,0,0,81.7634,0,0,1926980,0,119.886,0,0,0,1233363,0,0,inf,inf,inf,inf,inf,2.00396,119.886,2.77384,0,ycsb,0,0,6760,0,0,0,0
3,120,1,1,4,6,200,100,0.75,0,0,0,100,54.2536,100,0,0,0,0,0,0,0,0,72.027,0,0,1919409,0,119.886,0,0,0,1237479,0,0,inf,inf,inf,inf,inf,2.00193,119.886,2.77326,0,ycsb,0,0,8953,0,0,0,0
4,120,1,1,4,6,200,100,0.75,0,0,0,100,73.1478,100,0,0,0,0,0,0,0,0,62.2847,0,0,1922646,0,119.892,0,0,0,1238262,0,0,inf,inf,inf,inf,inf,2.00481,119.892,2.77089,0,ycsb,0,0,7307,0,0,0,0
5,120,1,1,4,6,200,100,0.75,0,0,0,100,91.9781,100,0,0,0,0,0,0,0,0,52.5754,0,0,1926382,0,119.881,0,0,0,1234061,0,0,inf,inf,inf,inf,inf,1.99213,119.881,2.77234,0,ycsb,0,0,12313,0,0,0,0
6,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,2247586,0,103.324,0,0,0,998663,0,0,inf,inf,inf,inf,inf,1.82681,103.324,2.83784,0,ycsb,0,0,286974,0,0,0,0
7,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3738569,0,0.997325,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44794,0.997325,3.31234,0,ycsb,0,0,0,0,0,0,0
8,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3760888,0,0.997368,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44326,0.997368,3.33662,0,ycsb,0,0,0,0,0,0,0
9,120,1,1,4,6,200,100,0.75,0,0,0,100,107.217,100,0,0,0,0,0,0,0,0,44.7162,0,0,3765704,0,0.997377,0,0,0,0,0,0,inf,inf,inf,inf,inf,2.44335,0.997377,3.33708,0,ycsb,0,0,0,0,0,0,0
