t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,1861088,0,0,3.49632,0,0,0,116795,0,2004,372.778,613.789,11.2435,2.24601,1495.92,1.64653,3.49632,0.249197,0,contention,0,463,0,0,0,0,0
1,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78255,100,0,0,0,0,0,0,0,0,81.6175,0,18446744073709551545,0,175799,0,0,118.567,0,0,0,26,0,137800520,1564.45,2246.18,2.32828,0.516883,866.164,1.43576,118.567,1.80619,0,contention,0,1771805,0,0,26,0,0
2,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78268,100,0,0,0,0,0,0,0,0,81.6161,0,18446744073709551545,0,175970,0,0,119.886,0,0,0,9,0,160195497,1438.65,2221.9,1.79576,0.46927,752.805,1.54444,119.886,1.91105,0,contention,0,1244704,0,0,9,0,0
3,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78288,100,0,0,0,0,0,0,0,0,81.614,0,18446744073709551545,0,154177,0,0,119.924,0,0,0,13,0,236730942,1409.17,2227.52,1.21187,0.442232,509.335,1.58073,119.924,2.76668,0,contention,0,3502571,0,0,13,0,0
4,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78296,100,0,0,0,0,0,0,0,0,81.6132,0,18446744073709551545,0,139080,0,0,119.919,0,0,0,5,0,261208158,1299.98,2212.02,1.00167,0.399838,461.577,1.70158,119.919,2.81638,0,contention,0,2352553,0,0,5,0,0
5,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78302,100,0,0,0,0,0,0,0,0,81.6126,0,18446744073709551545,0,135932,0,0,119.92,0,0,0,4,0,265266741,1273.49,2202.23,0.962717,0.389939,454.535,1.7293,119.92,2.80174,0,contention,0,1860887,0,0,4,0,0
6,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78307,100,0,0,0,0,0,0,0,0,81.6121,0,18446744073709551545,0,134814,0,0,119.917,0,0,0,3,0,271461562,1236,2195.42,0.892871,0.392479,444.165,1.77623,119.917,2.78275,0,contention,0,1609975,0,0,3,0,0
7,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.7831,100,0,0,0,0,0,0,0,0,81.6118,0,18446744073709551545,0,133541,0,0,119.925,0,0,0,2,0,280336930,1185.67,2194.76,0.803437,0.378493,430.135,1.85107,119.925,2.7565,0,contention,0,1089119,0,0,2,0,0
8,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78311,100,0,0,0,0,0,0,0,0,81.6116,0,18446744073709551545,0,132869,0,0,119.928,0,0,0,1,0,284710711,1162.21,2181.32,0.744833,0.372363,423.537,1.87688,119.928,2.74406,0,contention,0,883705,0,0,1,0,0
9,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78313,100,0,0,0,0,0,0,0,0,81.6115,0,18446744073709551545,0,131774,0,0,119.928,0,0,0,1,0,289179289,1134.68,2194.97,0.712559,0.364973,416.982,1.93443,119.928,2.72118,0,contention,0,753344,0,0,1,0,0
