t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,tpcc_warehouse_count,tpcc_warehouse_affinity,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
0,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,18.2575,1196523,-nan,-nan,-nan,-nan,inf,inf,23558099,0,0,92.155,3.99631,0,0,0,613132,610293,2.49905,-nan,0,0,1196523,0,5,120917,85639.2,5166,990.6,278474,0.708245,2.49905,0.434214,0,0,0,0,0,0,0,0,0,0,10,stock,0,0,44652,0,0,0,0,0,0,0
0,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,18.2575,1196523,-nan,-nan,-nan,-nan,inf,inf,23558099,0,0,92.155,3.99631,0,0,0,613132,610293,2.49905,-nan,0,0,1196523,0,5,120917,85639.2,5166,990.6,278474,0.708245,2.49905,0.434214,0,0,0,0,0,0,0,0,0,0,9,item,0,0,5,24,0,0,0,0,0,0
0,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,18.2575,1196523,-nan,-nan,-nan,-nan,inf,inf,23558099,0,0,92.155,3.99631,0,0,0,613132,610293,2.49905,-nan,0,0,1196523,0,5,120917,85639.2,5166,990.6,278474,0.708245,2.49905,0.434214,0,0,0,0,0,0,0,0,0,0,8,orderline,0,0,9319,0,0,0,0,0,0,0
0,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,18.2575,1196523,-nan,-nan,-nan,-nan,inf,inf,23558099,0,0,92.155,3.99631,0,0,0,613132,610293,2.49905,-nan,0,0,1196523,0,5,120917,85639.2,5166,990.6,278474,0.708245,2.49905,0.434214,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,1015,0,0,0,0,0,0,0
0,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,18.2575,1196523,-nan,-nan,-nan,-nan,inf,inf,23558099,0,0,92.155,3.99631,0,0,0,613132,610293,2.49905,-nan,0,0,1196523,0,5,120917,85639.2,5166,990.6,278474,0.708245,2.49905,0.434214,0,0,0,0,0,0,0,0,0,0,6,order,0,0,1022,0,0,0,0,0,0,0
0,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,18.2575,1196523,-nan,-nan,-nan,-nan,inf,inf,23558099,0,0,92.155,3.99631,0,0,0,613132,610293,2.49905,-nan,0,0,1196523,0,5,120917,85639.2,5166,990.6,278474,0.708245,2.49905,0.434214,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,156,0,0,0,0,0,0,0
0,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,18.2575,1196523,-nan,-nan,-nan,-nan,inf,inf,23558099,0,0,92.155,3.99631,0,0,0,613132,610293,2.49905,-nan,0,0,1196523,0,5,120917,85639.2,5166,990.6,278474,0.708245,2.49905,0.434214,0,0,0,0,0,0,0,0,0,0,1,district,0,0,0,1,0,0,0,0,0,0
0,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,18.2575,1196523,-nan,-nan,-nan,-nan,inf,inf,23558099,0,0,92.155,3.99631,0,0,0,613132,610293,2.49905,-nan,0,0,1196523,0,5,120917,85639.2,5166,990.6,278474,0.708245,2.49905,0.434214,0,0,0,0,0,0,0,0,0,0,0,warehouse,0,1,0,4,0,0,0,0,0,0
0,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,18.2575,1196523,-nan,-nan,-nan,-nan,inf,inf,23558099,0,0,92.155,3.99631,0,0,0,613132,610293,2.49905,-nan,0,0,1196523,0,5,120917,85639.2,5166,990.6,278474,0.708245,2.49905,0.434214,0,0,0,0,0,0,0,0,0,0,2,customer,0,0,1913,0,0,0,0,0,0,0
0,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,18.2575,1196523,-nan,-nan,-nan,-nan,inf,inf,23558099,0,0,92.155,3.99631,0,0,0,613132,610293,2.49905,-nan,0,0,1196523,0,5,120917,85639.2,5166,990.6,278474,0.708245,2.49905,0.434214,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,1155,0,0,0,0,0,0,0
0,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,18.2575,1196523,-nan,-nan,-nan,-nan,inf,inf,23558099,0,0,92.155,3.99631,0,0,0,613132,610293,2.49905,-nan,0,0,1196523,0,5,120917,85639.2,5166,990.6,278474,0.708245,2.49905,0.434214,0,0,0,0,0,0,0,0,0,0,4,history,0,0,1420,0,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,19.5881,1283726,-nan,-nan,-nan,-nan,inf,inf,11823646,0,0,91.5834,2.82681,0,0,0,648041,645551,118.79,-nan,0,0,88267,0,1339387,196898,74556,1011.64,397.133,89136.7,0.378653,118.79,2.20894,0,0,0,0,0,0,0,0,0,0,10,stock,0,3598,0,4831,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,19.5881,1283726,-nan,-nan,-nan,-nan,inf,inf,11823646,0,0,91.5834,2.82681,0,0,0,648041,645551,118.79,-nan,0,0,88267,0,1339387,196898,74556,1011.64,397.133,89136.7,0.378653,118.79,2.20894,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,1742,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,19.5881,1283726,-nan,-nan,-nan,-nan,inf,inf,11823646,0,0,91.5834,2.82681,0,0,0,648041,645551,118.79,-nan,0,0,88267,0,1339387,196898,74556,1011.64,397.133,89136.7,0.378653,118.79,2.20894,0,0,0,0,0,0,0,0,0,0,8,orderline,0,5679,7805,42,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,19.5881,1283726,-nan,-nan,-nan,-nan,inf,inf,11823646,0,0,91.5834,2.82681,0,0,0,648041,645551,118.79,-nan,0,0,88267,0,1339387,196898,74556,1011.64,397.133,89136.7,0.378653,118.79,2.20894,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,540,51,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,19.5881,1283726,-nan,-nan,-nan,-nan,inf,inf,11823646,0,0,91.5834,2.82681,0,0,0,648041,645551,118.79,-nan,0,0,88267,0,1339387,196898,74556,1011.64,397.133,89136.7,0.378653,118.79,2.20894,0,0,0,0,0,0,0,0,0,0,6,order,0,89,257,222,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,19.5881,1283726,-nan,-nan,-nan,-nan,inf,inf,11823646,0,0,91.5834,2.82681,0,0,0,648041,645551,118.79,-nan,0,0,88267,0,1339387,196898,74556,1011.64,397.133,89136.7,0.378653,118.79,2.20894,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,652,500,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,19.5881,1283726,-nan,-nan,-nan,-nan,inf,inf,11823646,0,0,91.5834,2.82681,0,0,0,648041,645551,118.79,-nan,0,0,88267,0,1339387,196898,74556,1011.64,397.133,89136.7,0.378653,118.79,2.20894,0,0,0,0,0,0,0,0,0,0,1,district,0,30081,0,22202,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,19.5881,1283726,-nan,-nan,-nan,-nan,inf,inf,11823646,0,0,91.5834,2.82681,0,0,0,648041,645551,118.79,-nan,0,0,88267,0,1339387,196898,74556,1011.64,397.133,89136.7,0.378653,118.79,2.20894,0,0,0,0,0,0,0,0,0,0,0,warehouse,0,6863330,0,2472824,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,19.5881,1283726,-nan,-nan,-nan,-nan,inf,inf,11823646,0,0,91.5834,2.82681,0,0,0,648041,645551,118.79,-nan,0,0,88267,0,1339387,196898,74556,1011.64,397.133,89136.7,0.378653,118.79,2.20894,0,0,0,0,0,0,0,0,0,0,2,customer,0,397,0,761,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,19.5881,1283726,-nan,-nan,-nan,-nan,inf,inf,11823646,0,0,91.5834,2.82681,0,0,0,648041,645551,118.79,-nan,0,0,88267,0,1339387,196898,74556,1011.64,397.133,89136.7,0.378653,118.79,2.20894,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,0,304,0,0,0,0,0,0
1,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,19.5881,1283726,-nan,-nan,-nan,-nan,inf,inf,11823646,0,0,91.5834,2.82681,0,0,0,648041,645551,118.79,-nan,0,0,88267,0,1339387,196898,74556,1011.64,397.133,89136.7,0.378653,118.79,2.20894,0,0,0,0,0,0,0,0,0,0,4,history,0,0,375,0,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,21.0282,1378101,-nan,-nan,-nan,-nan,inf,inf,12373298,0,0,90.9646,3.48275,0,0,0,691088,688480,119.846,-nan,0,0,96111,0,1420515,247526,76836.9,1007.34,395.414,84747.8,0.310419,119.846,2.92074,0,0,0,0,0,0,0,0,0,0,10,stock,0,1982,0,2589,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,21.0282,1378101,-nan,-nan,-nan,-nan,inf,inf,12373298,0,0,90.9646,3.48275,0,0,0,691088,688480,119.846,-nan,0,0,96111,0,1420515,247526,76836.9,1007.34,395.414,84747.8,0.310419,119.846,2.92074,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,1009,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,21.0282,1378101,-nan,-nan,-nan,-nan,inf,inf,12373298,0,0,90.9646,3.48275,0,0,0,691088,688480,119.846,-nan,0,0,96111,0,1420515,247526,76836.9,1007.34,395.414,84747.8,0.310419,119.846,2.92074,0,0,0,0,0,0,0,0,0,0,8,orderline,0,4975,6791,59,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,21.0282,1378101,-nan,-nan,-nan,-nan,inf,inf,12373298,0,0,90.9646,3.48275,0,0,0,691088,688480,119.846,-nan,0,0,96111,0,1420515,247526,76836.9,1007.34,395.414,84747.8,0.310419,119.846,2.92074,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,347,22,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,21.0282,1378101,-nan,-nan,-nan,-nan,inf,inf,12373298,0,0,90.9646,3.48275,0,0,0,691088,688480,119.846,-nan,0,0,96111,0,1420515,247526,76836.9,1007.34,395.414,84747.8,0.310419,119.846,2.92074,0,0,0,0,0,0,0,0,0,0,6,order,0,80,240,190,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,21.0282,1378101,-nan,-nan,-nan,-nan,inf,inf,12373298,0,0,90.9646,3.48275,0,0,0,691088,688480,119.846,-nan,0,0,96111,0,1420515,247526,76836.9,1007.34,395.414,84747.8,0.310419,119.846,2.92074,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,693,517,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,21.0282,1378101,-nan,-nan,-nan,-nan,inf,inf,12373298,0,0,90.9646,3.48275,0,0,0,691088,688480,119.846,-nan,0,0,96111,0,1420515,247526,76836.9,1007.34,395.414,84747.8,0.310419,119.846,2.92074,0,0,0,0,0,0,0,0,0,0,1,district,0,30444,0,24474,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,21.0282,1378101,-nan,-nan,-nan,-nan,inf,inf,12373298,0,0,90.9646,3.48275,0,0,0,691088,688480,119.846,-nan,0,0,96111,0,1420515,247526,76836.9,1007.34,395.414,84747.8,0.310419,119.846,2.92074,0,0,0,0,0,0,0,0,0,0,0,warehouse,0,9398380,0,2435187,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,21.0282,1378101,-nan,-nan,-nan,-nan,inf,inf,12373298,0,0,90.9646,3.48275,0,0,0,691088,688480,119.846,-nan,0,0,96111,0,1420515,247526,76836.9,1007.34,395.414,84747.8,0.310419,119.846,2.92074,0,0,0,0,0,0,0,0,0,0,2,customer,0,251,0,562,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,21.0282,1378101,-nan,-nan,-nan,-nan,inf,inf,12373298,0,0,90.9646,3.48275,0,0,0,691088,688480,119.846,-nan,0,0,96111,0,1420515,247526,76836.9,1007.34,395.414,84747.8,0.310419,119.846,2.92074,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,0,204,0,0,0,0,0,0
2,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,21.0282,1378101,-nan,-nan,-nan,-nan,inf,inf,12373298,0,0,90.9646,3.48275,0,0,0,691088,688480,119.846,-nan,0,0,96111,0,1420515,247526,76836.9,1007.34,395.414,84747.8,0.310419,119.846,2.92074,0,0,0,0,0,0,0,0,0,0,4,history,0,0,51,0,0,0,0,0,0,0
3,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,22.4917,1474018,-nan,-nan,-nan,-nan,inf,inf,12312802,0,0,90.3357,4.14598,0,0,0,683158,680498,119.84,-nan,0,0,97783,0,1447103,261313,77931.2,1010.11,398.015,83181.5,0.298229,119.84,3.14148,0,0,0,0,0,0,0,0,0,0,10,stock,0,2027,0,2610,0,0,0,0,0,0
3,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,22.4917,1474018,-nan,-nan,-nan,-nan,inf,inf,12312802,0,0,90.3357,4.14598,0,0,0,683158,680498,119.84,-nan,0,0,97783,0,1447103,261313,77931.2,1010.11,398.015,83181.5,0.298229,119.84,3.14148,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,1053,0,0,0,0,0,0
3,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,22.4917,1474018,-nan,-nan,-nan,-nan,inf,inf,12312802,0,0,90.3357,4.14598,0,0,0,683158,680498,119.84,-nan,0,0,97783,0,1447103,261313,77931.2,1010.11,398.015,83181.5,0.298229,119.84,3.14148,0,0,0,0,0,0,0,0,0,0,8,orderline,0,5415,7140,51,0,0,0,0,0,0
3,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,22.4917,1474018,-nan,-nan,-nan,-nan,inf,inf,12312802,0,0,90.3357,4.14598,0,0,0,683158,680498,119.84,-nan,0,0,97783,0,1447103,261313,77931.2,1010.11,398.015,83181.5,0.298229,119.84,3.14148,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,382,32,0,0,0,0,0,0
3,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,22.4917,1474018,-nan,-nan,-nan,-nan,inf,inf,12312802,0,0,90.3357,4.14598,0,0,0,683158,680498,119.84,-nan,0,0,97783,0,1447103,261313,77931.2,1010.11,398.015,83181.5,0.298229,119.84,3.14148,0,0,0,0,0,0,0,0,0,0,6,order,0,78,220,176,0,0,0,0,0,0
3,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,22.4917,1474018,-nan,-nan,-nan,-nan,inf,inf,12312802,0,0,90.3357,4.14598,0,0,0,683158,680498,119.84,-nan,0,0,97783,0,1447103,261313,77931.2,1010.11,398.015,83181.5,0.298229,119.84,3.14148,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,636,543,0,0,0,0,0,0
3,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,22.4917,1474018,-nan,-nan,-nan,-nan,inf,inf,12312802,0,0,90.3357,4.14598,0,0,0,683158,680498,119.84,-nan,0,0,97783,0,1447103,261313,77931.2,1010.11,398.015,83181.5,0.298229,119.84,3.14148,0,0,0,0,0,0,0,0,0,0,1,district,0,30997,0,25862,0,0,0,0,0,0
3,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,22.4917,1474018,-nan,-nan,-nan,-nan,inf,inf,12312802,0,0,90.3357,4.14598,0,0,0,683158,680498,119.84,-nan,0,0,97783,0,1447103,261313,77931.2,1010.11,398.015,83181.5,0.298229,119.84,3.14148,0,0,0,0,0,0,0,0,0,0,0,warehouse,0,10027180,0,2408635,0,0,0,0,0,0
3,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,22.4917,1474018,-nan,-nan,-nan,-nan,inf,inf,12312802,0,0,90.3357,4.14598,0,0,0,683158,680498,119.84,-nan,0,0,97783,0,1447103,261313,77931.2,1010.11,398.015,83181.5,0.298229,119.84,3.14148,0,0,0,0,0,0,0,0,0,0,2,customer,0,241,0,553,0,0,0,0,0,0
3,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,22.4917,1474018,-nan,-nan,-nan,-nan,inf,inf,12312802,0,0,90.3357,4.14598,0,0,0,683158,680498,119.84,-nan,0,0,97783,0,1447103,261313,77931.2,1010.11,398.015,83181.5,0.298229,119.84,3.14148,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,0,176,0,0,0,0,0,0
3,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,22.4917,1474018,-nan,-nan,-nan,-nan,inf,inf,12312802,0,0,90.3357,4.14598,0,0,0,683158,680498,119.84,-nan,0,0,97783,0,1447103,261313,77931.2,1010.11,398.015,83181.5,0.298229,119.84,3.14148,0,0,0,0,0,0,0,0,0,0,4,history,0,0,29,0,0,0,0,0,0,0
4,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,23.9564,1570005,-nan,-nan,-nan,-nan,inf,inf,12232148,0,0,89.7063,4.74099,0,0,0,679533,676874,119.845,-nan,0,0,97878,0,1449539,260544,78136,1013.09,398.706,83057,0.299895,119.845,3.13694,0,0,0,0,0,0,0,0,0,0,10,stock,0,1969,0,2622,0,0,0,0,0,0
4,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,23.9564,1570005,-nan,-nan,-nan,-nan,inf,inf,12232148,0,0,89.7063,4.74099,0,0,0,679533,676874,119.845,-nan,0,0,97878,0,1449539,260544,78136,1013.09,398.706,83057,0.299895,119.845,3.13694,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,1022,0,0,0,0,0,0
4,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,23.9564,1570005,-nan,-nan,-nan,-nan,inf,inf,12232148,0,0,89.7063,4.74099,0,0,0,679533,676874,119.845,-nan,0,0,97878,0,1449539,260544,78136,1013.09,398.706,83057,0.299895,119.845,3.13694,0,0,0,0,0,0,0,0,0,0,8,orderline,0,5528,7148,53,0,0,0,0,0,0
4,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,23.9564,1570005,-nan,-nan,-nan,-nan,inf,inf,12232148,0,0,89.7063,4.74099,0,0,0,679533,676874,119.845,-nan,0,0,97878,0,1449539,260544,78136,1013.09,398.706,83057,0.299895,119.845,3.13694,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,369,24,0,0,0,0,0,0
4,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,23.9564,1570005,-nan,-nan,-nan,-nan,inf,inf,12232148,0,0,89.7063,4.74099,0,0,0,679533,676874,119.845,-nan,0,0,97878,0,1449539,260544,78136,1013.09,398.706,83057,0.299895,119.845,3.13694,0,0,0,0,0,0,0,0,0,0,6,order,0,84,234,169,0,0,0,0,0,0
4,120,1,20,4,6,240,0,0,60,0,0,0,0,0,1,100,100,0,23.9564,1570005,-nan,-nan,-nan,-nan,inf,inf,12232148,0,0,89.7063,4.74099,0,0,0,679533,676874,119.845,-nan,0,0,97878,0,1449539,260544,78136,1013.09,398.706,83057,0.299895,119.845,3.13694,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,601,514,0,0,0,0,0,0
