t,c_hash,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9
0,2490075129607327782,0,latest,948894,0,642,16010,0,0,0,0,0,0,0,1626690,0,0,0,0,0,0,337856177,1823
1,2490075129607327782,0,latest,65650,274257,0,0,0,0,0,0,0,0,0,115274,0,0,0,0,0,0,15557922,219765
2,2490075129607327782,0,latest,380,959691,0,0,0,0,0,0,0,0,0,13620,0,0,0,0,0,0,32591556,722492
3,2490075129607327782,0,latest,0,986322,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,32824518,728545
4,2490075129607327782,0,latest,0,963002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32743346,739183
5,2490075129607327782,0,latest,0,926884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32762126,759104
6,2490075129607327782,0,latest,0,1010255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32810934,694821
7,2490075129607327782,0,latest,0,982975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32821081,728101
8,2490075129607327782,0,latest,0,942354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32664470,749205
9,2490075129607327782,0,latest,0,1021632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33002463,707525
10,2490075129607327782,0,latest,395,947253,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,32268361,724643
11,2490075129607327782,0,latest,35977,423286,0,0,0,0,0,0,0,0,0,82793,0,0,0,0,0,0,16817782,266090
12,2490075129607327782,0,latest,48,1095123,0,0,0,0,0,0,0,0,0,9349,0,0,0,0,0,0,33454596,716330
13,2490075129607327782,0,latest,0,1116156,0,0,0,0,0,0,0,0,0,649,0,0,0,0,0,0,33686361,731711
14,2490075129607327782,0,latest,0,1149845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33791495,707091
15,2490075129607327782,0,latest,0,1114886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33597637,723432
16,2490075129607327782,0,latest,0,1158592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33781529,701169
17,2490075129607327782,0,latest,0,1103614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33553470,729002
18,2490075129607327782,0,latest,0,1099510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33375870,719091
19,2490075129607327782,0,latest,0,1078654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33334800,733136
20,2490075129607327782,0,latest,519,1017072,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,32581386,728842
21,2490075129607327782,0,latest,36862,229024,0,0,0,0,0,0,0,0,0,76088,0,0,0,0,0,0,12074083,180422
22,2490075129607327782,0,latest,138,1033231,0,0,0,0,0,0,0,0,0,12802,0,0,0,0,0,0,33358038,730628
23,2490075129607327782,0,latest,0,1074561,0,0,0,0,0,0,0,0,0,1969,0,0,0,0,0,0,33773126,716865
24,2490075129607327782,0,latest,0,1064761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33654572,703572
25,2490075129607327782,0,latest,0,1109675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34124654,707088
26,2490075129607327782,0,latest,0,1079499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33929003,718443
27,2490075129607327782,0,latest,0,1078706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33792925,724841
28,2490075129607327782,0,latest,0,1042135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33260845,698369
29,2490075129607327782,0,latest,0,1007828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32803479,676972
0,9255061853837813269,0,latest,962728,0,682,16263,0,0,0,0,0,0,0,1643590,0,0,0,0,0,0,338006665,1985
1,9255061853837813269,0,latest,65591,227692,0,0,2,1,0,0,0,1,0,116073,0,0,0,0,0,0,17626505,192450
2,9255061853837813269,0,latest,192,702865,0,0,3,0,0,0,0,0,0,10175,0,0,0,0,0,0,43922450,594755
3,9255061853837813269,0,latest,0,727611,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44264578,587331
4,9255061853837813269,0,latest,0,719997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44598856,595611
5,9255061853837813269,0,latest,0,709862,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44572515,611216
6,9255061853837813269,0,latest,0,695532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44733621,638072
7,9255061853837813269,0,latest,0,728498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44483733,591907
8,9255061853837813269,0,latest,0,720254,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45694854,690113
9,9255061853837813269,0,latest,0,718511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45500455,681640
10,9255061853837813269,0,latest,15,713754,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,45007293,644345
11,9255061853837813269,0,latest,36359,311571,0,0,1,2,0,0,2,5,0,80264,0,0,0,0,0,0,15912629,243985
12,9255061853837813269,0,latest,55,748455,0,0,2,0,0,0,0,0,0,9552,0,0,0,0,0,0,44744038,587048
13,9255061853837813269,0,latest,0,727768,0,0,1,0,0,0,0,0,0,190,0,0,0,0,0,0,43739307,521093
14,9255061853837813269,0,latest,0,768485,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,45631417,598422
15,9255061853837813269,0,latest,0,764694,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46778481,639017
16,9255061853837813269,0,latest,0,779422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47201323,648012
17,9255061853837813269,0,latest,0,784657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46509045,593037
18,9255061853837813269,0,latest,0,763922,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45488157,561368
19,9255061853837813269,0,latest,0,790309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45802058,558691
20,9255061853837813269,0,latest,158,778006,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,45608319,560240
21,9255061853837813269,0,latest,37650,186806,0,0,1,1,0,0,0,9,0,79599,0,0,0,0,0,0,12608892,145217
22,9255061853837813269,0,latest,123,820190,0,0,3,0,0,0,1,1,0,11985,0,0,0,0,0,0,47081206,575098
23,9255061853837813269,0,latest,0,855741,0,0,1,0,0,0,0,0,0,240,0,0,0,0,0,0,47880515,574522
