t,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
0,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,13.19,7.50,79.31,61.92,0.16,36698865403840.95,2110413,1554445,1554444,1.01,21.65,8,24261.13,963456620,1639672,1626439,9.78,462,11405.69,731938,14804.31,36
1,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,67.88,9.08,23.04,18.01,1.00,8017170530823145.00,150322,65650,65651,1.01,22.56,8,1024.62,26967972,116422,115273,3.00,4,36.17,0,1024.72,2848328
2,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,98.31,1.64,0.05,0.00,2.19,61120590212117368.00,17947,380,380,1.01,22.54,8,5.93,31914296,13698,13573,0.00,0,0.00,0,5.93,5700038
3,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.29,374671930723610304.00,180,0,0,1.01,22.43,8,0.00,33557885,135,134,0.00,0,0.00,0,0.00,5724516
4,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,22.43,8,0.00,33008246,0,0,0.00,0,0.00,0,0.00,5733554
5,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,22.43,8,0.00,31579092,0,0,0.00,0,0.00,0,0.00,5741297
6,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,22.43,8,0.00,34196065,0,0,0.00,0,0.00,0,0.00,5726990
7,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,22.43,8,0.00,33314821,0,0,0.00,0,0.00,0,0.00,5726777
8,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,22.43,8,0.00,32558333,0,0,0.00,0,0.00,0,0.00,5740386
9,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,22.43,8,0.00,34616775,0,0,0.00,0,0.00,0,0.00,5720328
10,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,97.55,2.45,0.00,0.00,0.29,332272047261684608.00,346,382,382,1.01,22.33,8,5.98,32910196,262,261,0.00,0,0.00,0,5.87,5653335
11,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,41.99,6.93,51.08,41.14,0.49,5788265393967502.00,109353,35982,35982,1.01,23.21,8,561.49,28612875,83538,82743,5.91,0,99.07,0,561.60,2968016
12,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,94.18,0.77,5.05,3.14,3.22,16758102556140916.00,12340,49,49,1.01,23.29,8,0.76,31777724,9443,9344,1.60,0,0.44,0,0.76,5737101
13,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,1.32,291896283156780544.00,869,0,0,1.01,23.38,8,0.00,32913655,653,649,0.00,0,0.00,0,0.00,5767137
14,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.38,8,0.00,33626346,0,0,0.00,0,0.00,0,0.00,5749919
15,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.38,8,0.00,32740957,0,0,0.00,0,0.00,0,0.00,5749298
16,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.38,8,0.00,33568532,0,0,0.00,0,0.00,0,0.00,5737867
17,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.38,8,0.00,32668904,0,0,0.00,0,0.00,0,0.00,5753122
18,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.38,8,0.00,32019442,0,0,0.00,0,0.00,0,0.00,5719344
19,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.38,8,0.00,32195289,0,0,0.00,0,0.00,0,0.00,5734937
20,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,21.89,2.22,75.88,71.51,0.06,75040834085302864.00,197,513,513,1.01,23.09,8,7.99,30145600,155,154,2.56,0,4.03,0,7.88,5647058
21,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,15.90,6.46,77.64,62.72,0.29,1039493908951937.75,101457,36814,36814,1.01,22.96,8,575.22,25094974,76761,76017,8.63,7,394.44,0,575.33,2197470
22,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,86.74,1.36,11.90,8.42,2.32,59056792536243280.00,17084,139,139,1.01,22.97,8,2.17,30655893,12969,12842,2.63,0,1.86,0,2.17,5781849
23,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,1.59,188096050891183488.00,2666,0,0,1.01,23.17,8,0.00,32046551,1993,1966,0.00,0,0.00,0,0.00,5785419
24,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.17,8,0.00,33579857,0,0,0.00,0,0.00,0,0.00,5844502
25,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.17,8,0.00,35750181,0,0,0.00,0,0.00,0,0.00,5856680
26,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.17,8,0.00,34569843,0,0,0.00,0,0.00,0,0.00,5849903
27,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.17,8,0.00,33482783,0,0,0.00,0,0.00,0,0.00,5824771
28,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.17,8,0.00,32011415,0,0,0.00,0,0.00,0,0.00,5749828
29,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,0,7,14,1,5,1,80.00,0.90,512,2490075129607327782,11.17,731938,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,23.17,8,0.00,30161439,0,0,0.00,0,0.00,0,0.00,5688220
0,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,9255061853837813269,11.17,731938,13.20,7.48,79.32,61.86,0.18,101503998165328.00,2150320,1568164,1568164,1.01,22.07,8,24476.97,972486882,1656576,1643408,9.82,531,11405.64,731938,15020.18,5
1,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,9255061853837813269,11.17,731939,69.47,8.60,21.94,17.12,0.97,7758067565158316.00,152904,65596,65596,1.01,22.45,8,1023.69,27682604,117190,116033,2.89,0,33.72,2,1023.73,3301762
2,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,9255061853837813269,11.17,731942,98.84,1.15,0.01,0.00,2.08,10912785468900072.00,13459,197,197,1.01,22.35,8,3.07,32143935,10269,10169,0.00,0,0.00,3,3.03,8198371
3,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,9255061853837813269,11.17,731943,99.94,0.04,0.02,0.00,0.00,0.00,0,1,1,1.01,22.35,8,0.02,35908557,0,0,0.00,0,0.00,1,0.00,8242795
4,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,9255061853837813269,11.17,731944,99.93,0.07,0.00,0.00,0.00,0.00,0,1,1,1.01,22.35,8,0.02,35754621,0,0,0.00,0,0.00,1,0.00,8318719
5,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,9255061853837813269,11.17,731945,99.94,0.06,0.00,0.00,0.00,0.00,0,1,1,1.01,22.35,8,0.02,34722938,0,0,0.00,0,0.00,1,0.00,8326863
6,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,9255061853837813269,11.17,731945,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,22.35,8,0.00,31873200,0,0,0.00,0,0.00,0,0.00,8379104
7,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,9255061853837813269,11.17,731945,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,22.35,8,0.00,34140282,0,0,0.00,0,0.00,0,0.00,8286322
8,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,9255061853837813269,11.17,731946,99.94,0.06,0.00,0.00,0.00,0.00,0,1,1,1.01,22.35,8,0.02,30880087,0,0,0.00,0,0.00,1,0.00,8556993
9,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,9255061853837813269,11.17,731946,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1.01,22.35,8,0.00,31286117,0,0,0.00,0,0.00,0,0.00,8518532
10,0,1.00,10000,0.50,,1,8,0,1,1,10,4,6,2.00,10.00,30,0,0,1,0,1,7,14,1,5,1,80.00,0.90,512,9255061853837813269,11.17,731946,98.28,1.72,0.00,0.00,0.31,397477687811453888.00,183,21,21,1.01,22.44,8,0.33,33329027,142,140,0.00,0,0.00,0,0.20,8419179
