t,name,c_hash,cycle,cycle-kernel,instr,L1-miss,br-miss,task,IPC,CPU,GHz
0,pp_3,1533262774221806276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,pp_2,1533262774221806276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,pp_0,1533262774221806276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,pp_1,1533262774221806276,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1,pp_3,1533262774221806276,1895901575.00,1148288097.00,918784381.00,30307626.00,1273328.00,619592617.00,0.48,0.62,3.06
1,pp_2,1533262774221806276,1603149000.00,706492228.00,977223663.00,30037302.00,1405934.00,537871689.00,0.61,0.54,2.98
1,pp_0,1533262774221806276,1776964120.00,581072713.00,1154938648.00,30859148.00,1763246.00,572004974.00,0.65,0.57,3.11
1,pp_1,1533262774221806276,1644379795.00,672277946.00,1123576131.00,28886901.00,1384182.00,551387247.00,0.68,0.55,2.98
2,pp_3,1533262774221806276,3300778715.00,12471097.00,5658646439.00,1012001.00,83902.00,987822525.00,1.71,0.99,3.34
2,pp_2,1533262774221806276,3184573958.00,11344839.00,5318802148.00,1007799.00,83824.00,953272362.00,1.67,0.95,3.34
2,pp_0,1533262774221806276,3338944825.00,10928987.00,5835391949.00,975028.00,89606.00,999190268.00,1.75,1.00,3.34
2,pp_1,1533262774221806276,3263176716.00,10763979.00,5547556272.00,847878.00,88232.00,976619512.00,1.70,0.98,3.34
3,pp_3,1533262774221806276,3342646406.00,8418508.00,5737310014.00,661239.00,57191.00,1000640698.00,1.72,1.00,3.34
3,pp_2,1533262774221806276,3342473126.00,6853714.00,5603104444.00,664927.00,58138.00,1000616438.00,1.68,1.00,3.34
3,pp_0,1533262774221806276,3342029811.00,7078624.00,5969838152.00,550965.00,58040.00,1000442648.00,1.79,1.00,3.34
3,pp_1,1533262774221806276,3342420172.00,6761507.00,5777496795.00,554997.00,58214.00,1000581713.00,1.73,1.00,3.34
4,pp_3,1533262774221806276,3342227869.00,8268452.00,5766698015.00,645897.00,56365.00,1000467878.00,1.73,1.00,3.34
4,pp_2,1533262774221806276,3341549399.00,6929874.00,5611977579.00,657757.00,56300.00,1000335396.00,1.68,1.00,3.34
4,pp_0,1533262774221806276,3341997815.00,7098294.00,5945896494.00,546602.00,57280.00,1000404749.00,1.78,1.00,3.34
4,pp_1,1533262774221806276,3341238237.00,6902643.00,5737649159.00,537138.00,57159.00,1000208713.00,1.72,1.00,3.34
5,pp_3,1533262774221806276,3341532953.00,8546743.00,5683794482.00,665557.00,55633.00,1000521165.00,1.70,1.00,3.34
5,pp_2,1533262774221806276,3341439855.00,7030756.00,5536709026.00,682931.00,56358.00,1000529393.00,1.66,1.00,3.34
5,pp_0,1533262774221806276,3341088642.00,6954737.00,6600036426.00,332836.00,58768.00,1000351445.00,1.98,1.00,3.34
5,pp_1,1533262774221806276,3341431216.00,7050969.00,5547043580.00,594964.00,56203.00,1000523880.00,1.66,1.00,3.34
6,pp_3,1533262774221806276,3343009061.00,8750124.00,5695239735.00,661791.00,55588.00,1000489925.00,1.70,1.00,3.34
6,pp_2,1533262774221806276,3343318034.00,7002785.00,5568105503.00,669054.00,55667.00,1000570942.00,1.67,1.00,3.34
6,pp_0,1533262774221806276,3341517508.00,7450488.00,5665433394.00,684857.00,57105.00,1000053474.00,1.70,1.00,3.34
6,pp_1,1533262774221806276,3342895278.00,6994042.00,5758871530.00,532983.00,56898.00,1000436843.00,1.72,1.00,3.34
7,pp_3,1533262774221806276,3342845161.00,8335343.00,5873799525.00,608957.00,56586.00,1000565654.00,1.76,1.00,3.34
7,pp_2,1533262774221806276,3342417188.00,6831948.00,5613273375.00,656323.00,55923.00,1000506144.00,1.68,1.00,3.34
7,pp_0,1533262774221806276,3340386749.00,7274776.00,5568393225.00,716831.00,56323.00,999857736.00,1.67,1.00,3.34
7,pp_1,1533262774221806276,3342556122.00,6795579.00,5643808752.00,567266.00,56628.00,1000500105.00,1.69,1.00,3.34
8,pp_3,1533262774221806276,3342719467.00,8583812.00,5800119435.00,608685.00,55008.00,1000982645.00,1.74,1.00,3.34
8,pp_2,1533262774221806276,3342630610.00,6798837.00,6210652789.00,455847.00,57828.00,1001014382.00,1.86,1.00,3.34
8,pp_0,1533262774221806276,3341655229.00,7309942.00,6055332949.00,526940.00,57597.00,1000673758.00,1.81,1.00,3.34
8,pp_1,1533262774221806276,3342393035.00,6869418.00,6243279958.00,367240.00,57812.00,1000913142.00,1.87,1.00,3.34
9,pp_3,1533262774221806276,3343008666.00,8392537.00,5696774149.00,630884.00,55977.00,1000493482.00,1.70,1.00,3.34
9,pp_2,1533262774221806276,3343032423.00,6990999.00,5573390104.00,671230.00,57116.00,1000526890.00,1.67,1.00,3.34
9,pp_0,1533262774221806276,3340475277.00,7603874.00,5568959682.00,751935.00,57192.00,999757831.00,1.67,1.00,3.34
9,pp_1,1533262774221806276,3343090046.00,6853621.00,5576356457.00,587887.00,56541.00,1000522981.00,1.67,1.00,3.34
10,pp_3,1533262774221806276,3338404677.00,11129780.00,5672961088.00,813107.00,59870.00,999244780.00,1.70,1.00,3.34
10,pp_2,1533262774221806276,3337926365.00,10044771.00,5748556154.00,761527.00,61433.00,999116509.00,1.72,1.00,3.34
10,pp_0,1533262774221806276,3335969981.00,10515387.00,6191752281.00,636635.00,62746.00,998505664.00,1.86,1.00,3.34
10,pp_1,1533262774221806276,3337339269.00,10273571.00,5541280151.00,762919.00,63618.00,998934191.00,1.66,1.00,3.34
11,pp_3,1533262774221806276,3282066419.00,43672615.00,5457759579.00,3955842.00,201863.00,987948854.00,1.66,0.99,3.32
11,pp_2,1533262774221806276,3278986309.00,43604716.00,5319191628.00,3820547.00,198071.00,984044289.00,1.62,0.98,3.33
11,pp_0,1533262774221806276,3281874701.00,44110742.00,5433871209.00,3826345.00,201172.00,984796843.00,1.66,0.98,3.33
11,pp_1,1533262774221806276,3280782187.00,40549120.00,5556651874.00,3452328.00,216741.00,986749246.00,1.69,0.99,3.32
12,pp_3,1533262774221806276,3341551688.00,6790852.00,5728316495.00,747341.00,65409.00,1000563743.00,1.71,1.00,3.34
12,pp_2,1533262774221806276,3341485068.00,6910726.00,5587735095.00,683412.00,56336.00,1000569047.00,1.67,1.00,3.34
12,pp_0,1533262774221806276,3340976805.00,8510502.00,6086371706.00,586505.00,58885.00,1000374957.00,1.82,1.00,3.34
12,pp_1,1533262774221806276,3341091369.00,6947470.00,5581581896.00,650727.00,58096.00,1000434951.00,1.67,1.00,3.34
13,pp_3,1533262774221806276,3342333886.00,6854194.00,5738221023.00,739451.00,67065.00,1000555849.00,1.72,1.00,3.34
13,pp_2,1533262774221806276,3342337309.00,6960658.00,5595869116.00,681502.00,56887.00,1000541536.00,1.67,1.00,3.34
13,pp_0,1533262774221806276,3338925563.00,8933685.00,5939509804.00,659409.00,60586.00,999562078.00,1.78,1.00,3.34
13,pp_1,1533262774221806276,3342216964.00,6818787.00,5861308059.00,592217.00,57899.00,1000531778.00,1.75,1.00,3.34
14,pp_3,1533262774221806276,3343622255.00,6878339.00,5726861426.00,763344.00,66362.00,1000599691.00,1.71,1.00,3.34
14,pp_2,1533262774221806276,3343379967.00,6796244.00,5589538590.00,677366.00,57146.00,1000484453.00,1.67,1.00,3.34
14,pp_0,1533262774221806276,3342694860.00,8507621.00,5942865008.00,649332.00,60464.00,1000309640.00,1.78,1.00,3.34
14,pp_1,1533262774221806276,3343304743.00,6774801.00,5612698957.00,676013.00,56452.00,1000499566.00,1.68,1.00,3.34
15,pp_3,1533262774221806276,3342489498.00,6789016.00,5728908659.00,755218.00,68013.00,1000498143.00,1.71,1.00,3.34
15,pp_2,1533262774221806276,3342464541.00,6833462.00,5587948310.00,715371.00,57348.00,1000495472.00,1.67,1.00,3.34
15,pp_0,1533262774221806276,3340844385.00,8762228.00,5592316972.00,812305.00,60571.00,1000020927.00,1.67,1.00,3.34
15,pp_1,1533262774221806276,3342481669.00,6850606.00,5597740259.00,675268.00,57545.00,1000486396.00,1.67,1.00,3.34
16,pp_3,1533262774221806276,3341290425.00,7146680.00,5737120417.00,730426.00,68455.00,1000499593.00,1.72,1.00,3.34
16,pp_2,1533262774221806276,3341903295.00,7091019.00,5594145434.00,710326.00,56938.00,1000727685.00,1.67,1.00,3.34
16,pp_0,1533262774221806276,3338874245.00,8991657.00,5594806948.00,799062.00,58025.00,999794261.00,1.68,1.00,3.34
16,pp_1,1533262774221806276,3341820692.00,7090035.00,5594620241.00,694617.00,57225.00,1000666209.00,1.67,1.00,3.34
17,pp_3,1533262774221806276,3342487347.00,7153295.00,5733120525.00,750018.00,67754.00,1000739952.00,1.72,1.00,3.34
17,pp_2,1533262774221806276,3340115814.00,7344715.00,5590978800.00,701218.00,56514.00,1000046402.00,1.67,1.00,3.34
17,pp_0,1533262774221806276,3339953864.00,9220368.00,5664338249.00,779400.00,58227.00,999982686.00,1.70,1.00,3.34
17,pp_1,1533262774221806276,3341602565.00,7284765.00,5587582297.00,673977.00,56953.00,1000491225.00,1.67,1.00,3.34
18,pp_3,1533262774221806276,3343244947.00,6931071.00,5731272358.00,747728.00,67681.00,1000504511.00,1.71,1.00,3.34
18,pp_2,1533262774221806276,3300518646.00,7137679.00,5514614118.00,679909.00,56215.00,987740277.00,1.67,0.99,3.34
18,pp_0,1533262774221806276,3340602827.00,8659155.00,5863389398.00,685859.00,58500.00,999720321.00,1.76,1.00,3.34
18,pp_1,1533262774221806276,3343047327.00,6808362.00,5660996685.00,659840.00,57695.00,1000429799.00,1.69,1.00,3.34
19,pp_3,1533262774221806276,3342806001.00,6771272.00,5737894401.00,750654.00,67555.00,1000514481.00,1.72,1.00,3.34
19,pp_2,1533262774221806276,3342661878.00,6829615.00,5596481355.00,714524.00,57388.00,1000485894.00,1.67,1.00,3.34
19,pp_0,1533262774221806276,3340777618.00,8784939.00,5747455052.00,727275.00,57865.00,999935900.00,1.72,1.00,3.34
