t,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,c_backoff,c_mutex,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
0,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,8.60267,8.27724,83.1201,62.8796,0.944952,0.102293,9342926,669312,669311,1.00708,94.2518,78,10452.1,75205221,737420,729873,1.73592,13.1972,567,10452.1,731938,13.7611,2,232161,146446,13003.5,1761,470837,0.630793,1.73592,0.493081,0,0,0,0,0,0,0,0,0,0,0,latest,882,0,16117,4927,0,0,0,0,0,0
1,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,6.0119,19.1404,74.8477,60.5749,0.0868166,0.117651,22123,3471,3471,0.45476,54.9394,79,473.306,928,9533,9383,70.7393,8.98781,416,473.306,0,478.517,374285,345725,59034.2,333.475,57.225,189993,0.170755,70.7393,1.81968,0,0,0,0,0,0,0,0,0,0,0,latest,30675,246720,0,0,0,2,0,0,0,0
2,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,66.4941,3.09113,30.4147,26.7642,1.01957,3.85819,430672,4191,4192,0.906373,67.9402,79,96.8891,68966,155329,154255,62.8835,2.32007,90,96.8891,1,92.7234,1903988,60589.7,15668.2,137.924,14.5006,33215.1,0.258595,62.8835,1.82416,0,0,0,0,0,0,0,0,0,0,0,latest,5938,1038327,0,0,1,1,0,0,0,1
3,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,85.5707,1.44915,12.9802,10.5748,0.906198,5.42567,645841,977,977,1.01023,72.9441,78,56.8697,288198,190982,188810,96.8851,1.22482,73,56.8697,2,55.84,1790356,99384.8,12551.7,118.191,13.3358,54459.7,0.126294,96.8851,1.82493,0,0,0,0,0,0,0,0,0,0,0,latest,3579,595847,0,0,2,3,0,0,0,2
4,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,96.6261,0.420726,2.95313,2.26378,1.58418,6.65484,744660,170,170,0.240755,60.8466,79,19.8771,271466,228923,226368,114.962,0.424626,17,19.7835,4,27.3661,2376519,107889,10420.7,95.3131,11.1537,48606.1,0.0965877,114.962,2.21965,0,0,0,0,0,0,0,0,0,0,0,latest,1754,359707,0,0,4,4,0,0,0,2
5,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,92.1312,1.27548,6.59336,5.50034,0.73469,5.51631,599268,354,354,1.00865,60.878,78,37.0706,35950,230315,228790,102.992,0.672977,78,36.9614,2,29.566,3218233,95151.5,9804.51,93.4501,11.1559,32164.5,0.103041,102.992,2.95828,0,0,0,0,0,0,0,0,0,0,0,latest,1895,543224,0,0,2,1,0,0,0,2
6,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,95.104,0.424165,4.47182,3.55518,0.516254,6.11112,654425,180,180,0.190401,57.9182,79,22.9819,34916,252638,250964,114.977,0.422202,26,22.9351,1,30.8454,3663631,102251,9625.39,85.904,10.1503,31510.2,0.0941346,114.977,3.24502,0,0,0,0,0,0,0,0,0,0,0,latest,1978,372023,0,0,1,1,0,0,0,2
7,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,91.2801,1.37702,7.34283,4.96601,0.51389,6.06396,620870,573,573,1.00865,63.155,78,34.0282,101955,218627,216460,98.9409,1.91022,20,33.8722,2,26.1647,2556019,120579,12906.5,101.746,12.5137,38905.8,0.107038,98.9409,3.09926,0,0,0,0,0,0,0,0,0,0,0,latest,1676,692098,0,0,2,3,0,0,0,1
8,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,92.3455,0.80561,6.84885,5.42458,0.489753,6.18649,742276,433,432,0.571204,57.0763,79,42.3597,210256,238316,235771,114.325,0.90841,62,42.1257,1,46.3383,2597063,142873,13817.8,93.2665,11.2172,44208.6,0.0967138,114.325,3.2318,0,0,0,0,0,0,0,0,0,0,0,latest,2972,612880,0,0,1,2,0,0,0,1
9,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,97.8225,0.242356,1.93517,1.5182,0.759369,6.16741,717194,149,150,1.0118,63.7545,78,14.744,97553,258801,257059,101.221,0.267719,19,14.4164,2,10.7499,3209071,99162.9,9445.87,99.1235,10.6971,31705.2,0.0952561,101.221,3.12766,0,0,0,0,0,0,0,0,0,0,0,latest,687,384776,0,0,2,1,0,0,0,3
10,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,90.7895,2.47962,6.7309,5.59431,0.420033,6.48945,768503,306,306,0.309992,56.738,79,35.6508,124317,270895,269133,113.186,0.69738,34,34.3871,2,42.5938,3326253,112741,10480.7,90.6679,10.4145,34163.2,0.0929625,113.186,3.30008,0,0,0,0,0,0,0,0,0,0,0,latest,2730,343407,0,0,2,1,0,0,0,2
11,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,94.7647,0.413456,4.82187,4.15246,2.50712,5.66993,723409,270,270,1.01023,64.1432,78,21.3749,230247,229869,227406,98.3166,0.414502,15,20.7976,3,14.4476,2363394,126097,14489.7,105.453,12.3877,41812.1,0.114909,98.3166,3.0158,0,0,0,0,0,0,0,0,0,0,0,latest,926,503718,0,0,3,6,0,0,0,3
12,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731938,90.2897,1.08581,8.62448,6.23171,0.485786,5.60366,688447,738,738,0.974036,64.1432,79,54.2017,151433,230979,228714,110.507,1.13203,87,52.2827,0,54.545,2612027,136399,12426.9,95.4508,11.4318,42436.6,0.0911067,110.507,3.2142,0,0,0,0,0,0,0,0,0,0,0,latest,3496,464591,0,0,0,3,0,0,0,1
13,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731940,97.7667,0.0743801,2.15891,2.01059,0.576999,6.12452,716809,173,173,1.01023,61.498,78,2.83958,127406,248054,246465,105.088,0.104265,0,2.71477,4,2.48074,2957695,109026,10962.9,100.548,10.853,35713.4,0.100554,105.088,3.0528,0,0,0,0,0,0,0,0,0,0,0,latest,159,396751,0,0,4,4,0,0,1,2
14,120,0,1,1,80,1,6,1,10,0.9,60,0,1,1,0,1,0,1,100,512,1,0,1,2000,0.1,11.1685,731939,88.9179,1.24904,9.83309,8.13304,0.461973,5.54889,640801,692,692,0.892211,55.9858,79,53.9521,43597,241753,240184,109.531,0.943038,70,52.3295,2,55.1223,3335525,107568,11330.5,88.859,10.2008,32963.8,0.105334,109.531,3.26321,0,0,0,0,0,0,0,0,0,0,0,latest,3533,574692,0,0,2,0,0,0,1,3
