t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
0,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78215,100,0,0,0,0,0,0,0,0,81.6216,0,18446744073709551545,0,1971329,0,0,3.30399,0,0,0,116795,0,1431,567.908,1614.08,16.1957,3.40811,2241.61,2.84214,3.30399,0.253348,0,contention,0,473,0,0,0,0,0
1,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78241,100,0,0,0,0,0,0,0,0,81.6189,0,18446744073709551545,0,159407,0,0,116.699,0,0,0,17,0,136632461,1560.36,2233.66,2.36529,0.521977,859.865,1.4315,116.699,1.81466,0,contention,0,1045055,0,0,17,0,0
2,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78252,100,0,0,0,0,0,0,0,0,81.6178,0,18446744073709551545,0,171580,0,0,119.896,0,0,0,7,0,156274313,1486.15,2220.09,1.85305,0.487704,771.756,1.49385,119.896,1.92568,0,contention,0,873318,0,0,7,0,0
3,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78264,100,0,0,0,0,0,0,0,0,81.6165,0,18446744073709551545,0,149162,0,0,119.905,0,0,0,8,0,231179604,1431.56,2217.93,1.21054,0.435297,521.516,1.54931,119.905,2.74499,0,contention,0,2278097,0,0,8,0,0
4,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.7827,100,0,0,0,0,0,0,0,0,81.6159,0,18446744073709551545,0,141086,0,0,119.926,0,0,0,4,0,261204555,1275.37,2198.21,0.931501,0.40755,461.698,1.72359,119.926,2.76235,0,contention,0,1271486,0,0,4,0,0
5,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78275,100,0,0,0,0,0,0,0,0,81.6154,0,18446744073709551545,0,141638,0,0,119.912,0,0,0,3,0,273260043,1208.39,2162.64,0.782003,0.382471,441.263,1.78969,119.912,2.73848,0,contention,0,611844,0,0,3,0,0
6,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78278,100,0,0,0,0,0,0,0,0,81.6151,0,18446744073709551545,0,137418,0,0,119.857,0,0,0,2,0,276841146,1184.61,2167.94,0.704289,0.387789,435.388,1.83008,119.857,2.72082,0,contention,0,510980,0,0,2,0,0
7,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78278,100,0,0,0,0,0,0,0,0,81.6151,0,18446744073709551545,0,129468,0,0,119.915,0,0,0,0,0,278440380,1172.52,2195.1,0.658638,0.383723,433.069,1.87212,119.915,2.70746,0,contention,0,372436,0,0,0,0,0
8,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78281,100,0,0,0,0,0,0,0,0,81.6148,0,18446744073709551545,0,130269,0,0,119.876,0,0,0,2,0,281159593,1160.2,2185.14,0.603982,0.394798,428.748,1.88342,119.876,2.70601,0,contention,0,427514,0,0,2,0,0
9,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78282,100,0,0,0,0,0,0,0,0,81.6146,0,18446744073709551545,0,130775,0,0,119.919,0,0,0,1,0,288091879,1130.14,2170.52,0.560059,0.389283,420.945,1.92057,119.919,2.68478,0,contention,0,257036,0,0,1,0,0
10,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78282,100,0,0,0,0,0,0,0,0,81.6146,0,18446744073709551545,0,128781,0,0,119.922,0,0,0,0,0,285825667,1134.87,2193.02,0.538742,0.396316,421.903,1.93239,119.922,2.68989,0,contention,0,202558,0,0,0,0,0
11,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78284,100,0,0,0,0,0,0,0,0,81.6145,0,18446744073709551545,0,130043,0,0,119.921,0,0,0,1,0,289280507,1119.81,2170.02,0.510302,0.399679,416.863,1.93785,119.921,2.68628,0,contention,0,282542,0,0,1,0,0
12,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78284,100,0,0,0,0,0,0,0,0,81.6145,0,18446744073709551545,0,128778,0,0,119.923,0,0,0,0,0,287893547,1123.9,2187.75,0.51254,0.400685,418.896,1.94657,119.923,2.68301,0,contention,0,236978,0,0,0,0,0
13,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78287,100,0,0,0,0,0,0,0,0,81.6142,0,18446744073709551545,0,128325,0,0,119.916,0,0,0,2,0,293562827,1097.6,2176.87,0.462599,0.397694,410.821,1.9833,119.916,2.67173,0,contention,0,126562,0,0,2,0,0
14,120,1,10,1,6,10,1,0,60,0,1,1,0,0,1,100,2,1.78288,100,0,0,0,0,0,0,0,0,81.614,0,18446744073709551545,0,128756,0,0,119.922,0,0,0,1,0,296807084,1085.08,2162.26,0.421313,0.40286,406.322,1.99271,119.922,2.6705,0,contention,0,111542,0,0,1,0,0
