t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
0,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.903625,59220,-nan,-nan,-nan,-nan,inf,inf,69342593,0,0,90.6814,9.11487,0,0,0,152181,57935,4.71441,-nan,0,0,116671,0,119,20732.9,5285.91,244.966,41.4454,70.5714,22831.1,0.254953,4.71441,0.908096,0,0,0,0,0,0,0,0,0,0,0,contention,0,20,20494,0,0,0,2802,9,25607,54570
1,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9724818,0,0,90.6924,9.21904,0,0,0,10551,662,9.99554,-nan,0,0,0,0,45548512,898.207,2174.38,0.032156,0.00119216,0.635396,219.506,2.4208,9.99554,4.09195,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,2,0,70,68
2,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9807470,0,0,90.6924,9.21904,0,0,0,9833,0,9.99608,-nan,0,0,0,0,46412947,882.501,2174.1,0.0319603,0.00103482,0.620081,215.431,2.46356,9.99608,4.09645,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
3,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9912822,0,0,90.6924,9.21904,0,0,0,10174,0,9.9961,-nan,0,0,0,0,46535060,880.298,2172.87,0.0278744,0.00100887,0.593663,214.862,2.46834,9.9961,4.09705,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
4,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9807517,0,0,90.6924,9.21904,0,0,0,10153,0,9.99592,-nan,0,0,0,0,46555876,879.831,2171.78,0.0249101,0.00100496,0.598834,214.762,2.46841,9.99592,4.09677,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
5,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9879615,0,0,90.6924,9.21904,0,0,0,10237,0,9.99616,-nan,0,0,0,0,46605111,879.003,2171.57,0.0239729,0.0008607,0.583326,214.541,2.47049,9.99616,4.09714,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
6,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9823774,0,0,90.6924,9.21904,0,0,0,9959,0,9.99538,-nan,0,0,0,0,45487247,900.511,2173.11,0.0431038,0.00126572,0.59812,219.795,2.4132,9.99538,4.09705,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
7,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9922004,0,0,90.6924,9.21904,0,0,0,10172,0,9.9957,-nan,0,0,0,0,46522421,880.539,2172.09,0.0238836,0.000982236,0.571456,214.911,2.46678,9.9957,4.09723,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
8,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9759119,0,0,90.6924,9.21904,0,0,0,10105,0,9.99521,-nan,0,0,0,0,45801008,894.295,2170.07,0.0333249,0.00139346,0.813443,218.291,2.42657,9.99521,4.0968,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
9,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9437423,0,0,90.6924,9.21904,0,0,0,9611,0,9.99506,-nan,0,0,0,0,45800027,894.309,2170.31,0.0350038,0.00136572,0.932031,218.287,2.4268,9.99506,4.09694,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
10,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9722724,0,0,90.6924,9.21904,0,0,0,10053,0,9.99551,-nan,0,0,0,0,45649558,897.401,2170.13,0.0435105,0.00144378,0.83047,219.018,2.41824,9.99551,4.09739,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
11,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9879995,0,0,90.6924,9.21904,0,0,0,9885,0,9.99544,-nan,0,0,0,0,46014159,890.17,2172.34,0.0403189,0.00149932,0.608483,217.283,2.44037,9.99544,4.09682,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
12,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9629679,0,0,90.6924,9.21904,0,0,0,9661,0,9.99496,-nan,0,0,0,0,45439896,901.378,2169.67,0.0595143,0.00165438,0.616567,220.017,2.40705,9.99496,4.09686,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
13,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9882300,0,0,90.6924,9.21904,0,0,0,10085,1,9.99574,-nan,0,0,0,0,46410320,882.665,2170.43,0.0282333,0.00125845,0.584346,215.433,2.45895,9.99574,4.09717,0,0,0,0,0,0,0,0,0,0,0,contention,0,10,0,0,0,0,0,0,0,0
14,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9869200,0,0,90.6924,9.21904,0,0,0,9914,0,9.99519,-nan,0,0,0,0,46479188,881.34,2167.21,0.0357248,0.00118752,0.57033,215.1,2.45899,9.99519,4.09734,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
15,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9823383,0,0,90.6924,9.21904,0,0,0,9926,0,9.99601,-nan,0,0,0,0,46354402,883.678,2172.79,0.0297566,0.00125932,0.599918,215.697,2.4588,9.99601,4.09685,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
16,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9862213,0,0,90.6924,9.21904,0,0,0,9941,0,9.99594,-nan,0,0,0,0,46533513,880.38,2170.88,0.025144,0.00110856,0.571715,214.865,2.46585,9.99594,4.09737,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
17,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9835329,0,0,90.6924,9.21904,0,0,0,10141,0,9.99568,-nan,0,0,0,0,46097831,888.703,2169.31,0.0416603,0.00137985,0.558662,216.893,2.44098,9.99568,4.09742,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
