t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
0,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0.320492,0.072933,39515798,0,0,81.6216,10.0617,0,0,19539362,65004,63944,1.36091,0,0,0,116795,0,12,29220.3,5685.42,406.833,251.083,70.4167,14957.8,0.194571,1.36091,1.95351,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,9304,0,0,0,0,0,0,0
1,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5426467,0,0,9.99535,0,0,0,0,0,43890257,931.92,2290.41,0.0425968,0.00146458,0.549302,227.793,2.45773,9.99535,4.09109,0,0,0,0,0,0,0,0,0,0,0,contention,0,17,0,0,0,0,0,0,0,0
2,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5533369,0,0,9.99545,0,0,0,0,0,43893977,933.23,2290.48,0.0323159,0.00151171,0.551714,227.773,2.45436,9.99545,4.09718,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
3,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5378622,0,0,9.99514,0,0,0,0,0,44002661,930.855,2290.41,0.0357824,0.0013911,0.5129,227.208,2.46055,9.99514,4.09693,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
4,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5477965,0,0,9.99531,0,0,0,0,0,43591360,939.624,2291.44,0.0573777,0.00163984,0.530084,229.353,2.43867,9.99531,4.09684,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
5,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5568086,0,0,9.99586,0,0,0,0,0,44335504,924.097,2290.58,0.0263076,0.00101792,0.501024,225.515,2.47872,9.99586,4.09772,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
6,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5511009,0,0,9.99546,0,0,0,0,0,43434921,943.128,2287.69,0.0526733,0.00134654,0.500297,230.182,2.42564,9.99546,4.09732,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
7,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5579110,0,0,9.99548,0,0,0,0,0,44227820,926.196,2290.01,0.0339549,0.00125186,0.499497,226.056,2.47248,9.99548,4.09721,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
8,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5527753,0,0,9.99542,0,0,0,0,0,44275385,925.255,2289.81,0.0294523,0.00125645,0.485508,225.811,2.47479,9.99542,4.09747,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
9,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5334224,0,0,9.99477,0,0,0,0,0,41628677,984.011,2285.55,0.0807626,0.00206235,1.44718,240.153,2.32269,9.99477,4.09743,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
10,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5262451,0,0,9.99545,0,0,0,0,0,43881008,933.601,2290.61,0.0350477,0.00154762,0.565551,227.844,2.45352,9.99545,4.09755,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
11,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5556309,0,0,9.99591,0,0,0,0,0,44041944,930.077,2290.17,0.035179,0.00120135,0.545118,227.022,2.46234,9.99591,4.09685,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
12,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5371263,0,0,9.99531,0,0,0,0,0,43211068,947.924,2290.91,0.0487978,0.00158156,0.571683,231.366,2.41676,9.99531,4.09707,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
13,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5596647,0,0,9.99609,0,0,0,0,0,44387513,922.971,2290.17,0.0248761,0.00100078,0.479263,225.25,2.4813,9.99609,4.09755,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
14,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5412707,0,0,9.99595,0,0,0,0,0,44502231,920.533,2290.17,0.0248426,0.00117122,0.502103,224.672,2.48787,9.99595,4.09723,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
15,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5560520,0,0,9.9955,0,0,0,0,0,44287642,924.865,2290.14,0.0278126,0.00104679,0.50743,225.751,2.47619,9.9955,4.09683,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
16,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5610037,0,0,9.99651,0,0,0,0,0,44322515,924.273,2290.37,0.0261158,0.000901415,0.502973,225.597,2.47802,9.99651,4.09701,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
17,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5434104,0,0,9.99555,0,0,0,0,0,43223420,947.795,2290.8,0.036305,0.00124581,0.955514,231.31,2.41698,9.99555,4.09751,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
18,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5362443,0,0,9.99491,0,0,0,0,0,42131589,972.263,2287.23,0.0640326,0.00183755,1.00395,237.288,2.35248,9.99491,4.09739,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
19,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5514274,0,0,9.9958,0,0,0,0,0,44349890,923.665,2290.69,0.0258741,0.00113286,0.489668,225.441,2.48,9.9958,4.09714,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
20,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5483387,0,0,9.99549,0,0,0,0,0,43492822,941.684,2289.89,0.0523831,0.00167418,0.582957,229.876,2.43169,9.99549,4.09648,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
21,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5387772,0,0,9.99556,0,0,0,0,0,44515443,920.182,2290.26,0.0261325,0.00107257,0.512879,224.598,2.48892,9.99556,4.09702,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
22,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5512619,0,0,9.99537,0,0,0,0,0,43688881,937.578,2290.29,0.0457801,0.00163925,0.551979,228.845,2.44278,9.99537,4.097,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
23,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5510063,0,0,9.99586,0,0,0,0,0,44228329,926.305,2290.67,0.0298638,0.00118637,0.485671,226.063,2.47291,9.99586,4.09756,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
24,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5222095,0,0,9.99527,0,0,0,0,0,43769915,935.853,2291.07,0.0382384,0.00111565,0.510459,228.417,2.44811,9.99527,4.09712,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
25,10,1,10,1,6,10,1,0,60,0,1,0,0,0,0,1,100,1,1.78215,116795,100,0,0,0,0,0,0,0,0,81.6216,10.0603,0,0,5258172,0,0,9.99578,0,0,0,0,0,44158618,927.728,2290.27,0.0282698,0.00110232,0.692116,226.415,2.46869,9.99578,4.09746,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
