   c_su_kwaymerge        c_tag b_median a_median b_gib a_gib improvement_pct
1               3 integers-rnd     0.67     0.84 31.17 26.26       18.697639
2               4 integers-rnd     0.67     0.94 30.82 24.66       24.979724
3               5 integers-rnd     0.67     0.99 31.04 23.92       29.765886
4               6 integers-rnd     0.67     0.99 30.93 23.49       31.673052
5               7 integers-rnd     0.67     0.99 31.14 23.23       34.050796
6               3 integers-seq     0.51     0.97 41.34 27.82       48.598131
7               4 integers-seq     0.51     0.99 42.64 25.50       67.215686
8               5 integers-seq     0.51     0.99 41.10 24.43       68.235776
9               6 integers-seq     0.51     0.99 42.99 23.81       80.554389
10              7 integers-seq     0.51     0.99 40.94 23.42       74.807857
11              3  strings-rnd     0.66     0.84  4.03  3.74        7.754011
12              4  strings-rnd     0.66     0.93  4.42  3.52       25.568182
13              5  strings-rnd     0.66     0.97  4.42  3.43       28.862974
14              6  strings-rnd     0.66     0.97  4.39  3.37       30.267062
15              7  strings-rnd     0.66     0.98  4.42  3.34       32.335329
16              3  strings-seq     0.35     0.89  7.46  3.76       98.404255
17              4  strings-seq     0.35     0.93  7.12  3.58       98.882682
18              5  strings-seq     0.33     0.96  7.31  3.50      108.857143
19              6  strings-seq     0.33     0.97  7.32  3.45      112.173913
20              7  strings-seq     0.36     0.98  6.99  3.41      104.985337
