t,c_hash,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9
0,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16713139114652915542,0,merge,0,0,2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120515242,11236
2,16713139114652915542,0,merge,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133259982,3871
3,16713139114652915542,0,merge,0,0,6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105864685,29803
4,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,6013,78328,0,85867,0,0,0,0,0,0,515208,0
6,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,21491,85361,0,114192,0,0,0,0,0,0,685147,0
7,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,33356,68110,0,133443,0,0,0,0,0,0,800658,0
8,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,38068,48094,0,181988,0,0,0,0,0,0,1091928,0
9,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,30195,26954,0,290535,0,0,0,0,0,0,1743219,0
10,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,14867,10330,0,414637,0,0,0,0,0,0,2487825,0
11,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,6131,3610,0,484913,0,0,0,0,0,0,2909472,0
12,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,2422,1332,0,503533,0,0,0,0,0,0,3021203,0
13,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,1027,583,0,515936,0,0,0,0,0,0,3095613,0
14,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,507,263,0,522863,0,0,0,0,0,0,3137176,0
15,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,278,135,0,525370,0,0,0,0,0,0,3152224,0
16,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,164,73,0,520489,0,0,0,0,0,0,3122933,0
17,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,93,35,0,527266,0,0,0,0,0,0,3163595,0
18,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,53,21,0,530515,0,0,0,0,0,0,3183091,0
19,16713139114652915542,0,merge,0,0,0,0,0,0,0,0,32,17,0,527499,0,0,0,0,0,0,3164995,0
