t,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
0,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,0.00,1,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,100.00,0.00,0,0.00,0,0,0,-nan,0,0.00,1,0.00,0
1,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,2.91,190546,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,85.01,0.00,0,0.00,0,0,0,-nan,0,0.00,190546,0.00,0
2,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,6.07,398052,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,68.68,0.00,0,0.00,0,0,0,-nan,0,0.00,207506,0.00,0
3,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,8.43,552637,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,56.52,0.00,0,0.00,0,0,0,-nan,0,0.00,154584,0.00,0
4,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,8.43,552637,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,56.52,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,0
5,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,7.24,474312,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,62.68,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,85859
6,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,5.93,388952,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,69.40,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,114189
7,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,4.90,320841,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,74.76,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,133447
8,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,4.17,272991,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,78.52,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,180522
9,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,3.75,245790,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,80.66,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,291984
10,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,3.59,235460,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,81.47,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,414621
11,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,3.54,231850,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,81.76,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,484910
12,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,3.52,230518,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,81.86,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,503531
13,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,3.51,229936,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,81.91,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,514654
14,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,3.50,229672,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,81.93,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,524153
15,urls-seq,1,10,0,1,1,20,0,6,20.00,0.00,30,0,0,0,0,0,7,14,1,5,1,80.00,0.00,512,16713139114652915542,3.50,229537,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,81.94,0.00,0,0.00,0,0,0,-nan,0,0.00,0,0.00,525370
