t,name,c_hash,cycle,cycle-kernel,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz
5,merge,16713139114652915542,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6,merge,16713139114652915542,4212685576.06,211049329.31,3948575538.98,102282206.42,39062059.94,23528808.64,999822727.00,0.94,1.00,4.21
7,merge,16713139114652915542,4230670510.48,93624995.63,4029816389.20,104383540.99,38796995.51,24463925.22,999944645.00,0.95,1.00,4.23
8,merge,16713139114652915542,4162210204.75,52591665.28,3840488383.47,97316695.75,36490316.46,23980026.10,999711658.00,0.92,1.00,4.16
9,merge,16713139114652915542,4234800730.74,29542382.00,3415597286.57,79153631.22,31685947.84,23515959.22,1006662493.00,0.81,1.00,4.21
10,merge,16713139114652915542,4175234231.06,17571002.36,2864057878.91,53827990.13,25354723.54,22591308.38,999856178.00,0.69,1.00,4.18
11,merge,16713139114652915542,4199291219.76,10365855.60,2689622443.62,41978849.60,21879537.70,22768878.65,999888046.00,0.64,1.00,4.20
12,merge,16713139114652915542,4168506945.67,9542128.89,2585947514.41,36646845.78,20638017.72,22461046.36,999793433.00,0.62,1.00,4.17
13,merge,16713139114652915542,4173066456.60,8144493.82,2571068553.48,34909487.25,20069525.00,22511061.01,999892352.00,0.62,1.00,4.17
14,merge,16713139114652915542,4213640170.53,7542202.98,2595722971.10,34581826.09,19935830.16,22754016.17,1002368831.00,0.62,1.00,4.20
15,merge,16713139114652915542,4221074055.93,7570634.54,2588288002.37,34285427.73,19658458.70,22746043.84,1000066179.00,0.61,1.00,4.22
16,merge,16713139114652915542,4201565296.50,6889558.92,2557320752.94,33729597.10,19840234.77,22518001.59,999932946.00,0.61,1.00,4.20
17,merge,16713139114652915542,4212985777.48,7083645.92,2587154568.82,34016657.12,19544731.96,22758764.50,1000103697.00,0.61,1.00,4.21
18,merge,16713139114652915542,4219700648.38,7582490.52,2586333203.61,33983709.52,19696477.90,22748446.44,999968430.00,0.61,1.00,4.22
19,merge,16713139114652915542,4258278938.40,8043798.51,2604366529.67,34176885.31,19753015.96,22919540.22,1006759961.00,0.61,1.00,4.23
20,merge,16713139114652915542,4197469135.88,9486688.74,2573854564.22,33869664.56,19539287.30,22668396.46,1000038794.00,0.61,1.00,4.20
21,merge,16713139114652915542,4167272254.28,10779539.64,2560555628.43,33657632.25,19420961.00,22578392.17,1000164728.00,0.61,1.00,4.17
22,merge,16713139114652915542,4184139161.23,9683405.44,2549380247.38,33548756.51,19743743.56,22458741.80,1000048934.00,0.61,1.00,4.18
23,merge,16713139114652915542,4216781473.30,7629677.05,2577712531.84,33877339.98,19565377.87,22714932.05,1000159807.00,0.61,1.00,4.22
24,merge,16713139114652915542,4238016449.07,5819254.57,2598372241.31,34051934.17,19587197.20,22843491.99,1000110936.00,0.61,1.00,4.24
25,merge,16713139114652915542,4231343536.80,6195823.14,2598789111.55,34098029.90,19550909.58,22866831.64,1000137379.00,0.61,1.00,4.23
26,merge,16713139114652915542,4218485830.40,8090236.99,2579543173.05,33863457.49,19544428.28,22741814.97,999809793.00,0.61,1.00,4.22
27,merge,16713139114652915542,4225303918.25,6394782.97,2588777134.13,33929369.85,19503515.77,22783333.08,1000051760.00,0.61,1.00,4.23
28,merge,16713139114652915542,4212791583.98,8386701.65,2560980227.94,33669285.87,19998033.10,22548870.10,1006643204.00,0.61,1.00,4.18
29,merge,16713139114652915542,4198014434.12,7514497.92,2576039374.52,33759940.90,19640137.03,22663599.35,1000020950.00,0.61,1.00,4.20
30,merge,16713139114652915542,4227845363.23,6384516.12,2587753769.19,33953922.93,19488723.68,22807645.86,1000011476.00,0.61,1.00,4.23
31,merge,16713139114652915542,4243939636.20,6319053.21,2597451884.45,34088866.26,19625437.03,22854937.60,1000131483.00,0.61,1.00,4.24
32,merge,16713139114652915542,4239956775.55,5922089.14,2599233623.58,34085210.42,19613498.20,22885448.21,1000047650.00,0.61,1.00,4.24
