t,c_hash,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9
0,4060952843860606973,10,stock,0,0,3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4060952843860606973,9,item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4060952843860606973,8,orderline,0,0,8440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4060952843860606973,7,order_wdc,0,0,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4060952843860606973,6,order,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4060952843860606973,1,district,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4060952843860606973,0,warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236726422,457383
0,4060952843860606973,2,customer,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4060952843860606973,3,customerwdl,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4060952843860606973,4,history,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4060952843860606973,5,neworder,0,0,2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4060952843860606973,10,stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4060952843860606973,9,item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4060952843860606973,8,orderline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4060952843860606973,7,order_wdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4060952843860606973,6,order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4060952843860606973,1,district,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4060952843860606973,0,warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5952286,0
1,4060952843860606973,2,customer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4060952843860606973,3,customerwdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4060952843860606973,4,history,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4060952843860606973,5,neworder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4060952843860606973,10,stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4060952843860606973,9,item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4060952843860606973,8,orderline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4060952843860606973,7,order_wdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4060952843860606973,6,order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4060952843860606973,1,district,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4060952843860606973,0,warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6033398,0
2,4060952843860606973,2,customer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4060952843860606973,3,customerwdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4060952843860606973,4,history,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4060952843860606973,5,neworder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4060952843860606973,10,stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4060952843860606973,9,item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4060952843860606973,8,orderline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4060952843860606973,7,order_wdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4060952843860606973,6,order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4060952843860606973,1,district,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4060952843860606973,0,warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6053217,0
3,4060952843860606973,2,customer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4060952843860606973,3,customerwdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4060952843860606973,4,history,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4060952843860606973,5,neworder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4060952843860606973,10,stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4060952843860606973,9,item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4060952843860606973,8,orderline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4060952843860606973,7,order_wdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4060952843860606973,6,order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4060952843860606973,1,district,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4060952843860606973,0,warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6050993,0
4,4060952843860606973,2,customer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4060952843860606973,3,customerwdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4060952843860606973,4,history,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4060952843860606973,5,neworder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4060952843860606973,10,stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4060952843860606973,9,item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4060952843860606973,8,orderline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4060952843860606973,7,order_wdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4060952843860606973,6,order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4060952843860606973,1,district,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4060952843860606973,0,warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6072852,0
5,4060952843860606973,2,customer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4060952843860606973,3,customerwdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4060952843860606973,4,history,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4060952843860606973,5,neworder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4060952843860606973,10,stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4060952843860606973,9,item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4060952843860606973,8,orderline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4060952843860606973,7,order_wdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4060952843860606973,6,order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4060952843860606973,1,district,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4060952843860606973,0,warehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6090815,0
6,4060952843860606973,2,customer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4060952843860606973,3,customerwdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4060952843860606973,4,history,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4060952843860606973,5,neworder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4060952843860606973,10,stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4060952843860606973,9,item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4060952843860606973,8,orderline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4060952843860606973,7,order_wdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4060952843860606973,6,order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4060952843860606973,1,district,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
