t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
0,100,0,arm,0,1,0,1,1,20,0,6,40,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16955826858827819008,18.27,1197564,NA,NA,NA,NA,NA,NA,0,0,0,52.89,0,0,0,0,0,0,NA,0,0,1197564,0,0
0,100,0,arm,0,1,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,17981522982825238528,18.25,1195896,NA,NA,NA,NA,NA,NA,0,0,0,52.95,0,0,0,0,0,0,NA,0,0,1195896,0,0
0,100,0,arm,0,8,0,1,1,20,0,6,40,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,18255723618642147328,18.24,1195544,NA,NA,NA,NA,NA,NA,0,0,0,52.97,0,0,0,0,0,0,NA,0,0,1195544,0,0
0,100,0,arm,0,8,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,610404264664812928,18.26,1196380,NA,NA,NA,NA,NA,NA,0,0,0,52.94,0,0,0,0,0,0,NA,0,0,1196380,0,0
0,100,0,arm,0,10,0,1,1,20,0,6,40,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16839256047861948416,18.25,1195897,NA,NA,NA,NA,NA,NA,0,0,0,52.95,0,0,0,0,0,0,NA,0,0,1195897,0,0
0,100,0,arm,0,10,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,982913256105324032,18.25,1195765,NA,NA,NA,NA,NA,NA,0,0,0,52.96,0,0,0,0,0,0,NA,0,0,1195765,0,0
0,100,0,arm,0,16,0,1,1,20,0,6,40,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,5383970002038861824,18.25,1195789,NA,NA,NA,NA,NA,NA,0,0,0,52.96,0,0,0,0,0,0,NA,0,0,1195789,0,0
0,100,0,arm,0,16,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,10556594296580526080,18.25,1195975,NA,NA,NA,NA,NA,NA,0,0,0,52.95,0,0,0,0,0,0,NA,0,0,1195975,0,0
0,100,0,arm,0,20,0,1,1,20,0,6,40,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,13108246303677327360,18.25,1195841,NA,NA,NA,NA,NA,NA,0,0,0,52.96,0,0,0,0,0,0,NA,0,0,1195841,0,0
0,100,0,arm,0,20,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,17139009688928667648,18.25,1196158,NA,NA,NA,NA,NA,NA,0,0,0,52.94,0,0,0,0,0,0,NA,0,0,1196158,0,0
0,100,0,arm,0,30,0,1,1,20,0,6,40,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,6138902908148121600,18.26,1196642,NA,NA,NA,NA,NA,NA,0,0,0,52.93,0,0,0,0,0,0,NA,0,0,1196642,0,0
0,100,0,arm,0,30,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,1861472841047193600,18.28,1197960,NA,NA,NA,NA,NA,NA,0,0,0,52.87,0,0,0,0,0,0,NA,0,0,1197960,0,0
0,100,0,arm,0,32,0,1,1,20,0,6,40,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,17797795412947662848,18.26,1196397,NA,NA,NA,NA,NA,NA,0,0,0,52.93,0,0,0,0,0,0,NA,0,0,1196397,0,0
0,100,0,arm,0,32,0,1,1,20,0,6,40,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,9806286755515725824,18.25,1195942,NA,NA,NA,NA,NA,NA,0,0,0,52.95,0,0,0,0,0,0,NA,0,0,1195942,0,0
