t,c_hash,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9
0,6793318692828747510,10,stock,0,0,3279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6793318692828747510,9,item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6793318692828747510,8,orderline,0,0,9025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6793318692828747510,7,order_wdc,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6793318692828747510,6,order,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6793318692828747510,5,neworder,0,0,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6793318692828747510,4,history,0,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6793318692828747510,3,customerwdl,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6793318692828747510,2,customer,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6793318692828747510,1,district,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6793318692828747510,0,warehouse,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236627600,433197
1,6793318692828747510,10,stock,0,129,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6793318692828747510,9,item,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6793318692828747510,8,orderline,0,4450,11834,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6793318692828747510,7,order_wdc,0,0,61,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6793318692828747510,6,order,0,152,167,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6793318692828747510,5,neworder,0,0,22853,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6793318692828747510,4,history,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6793318692828747510,3,customerwdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6793318692828747510,2,customer,0,33,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6793318692828747510,1,district,0,3187429,0,33758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6793318692828747510,0,warehouse,0,267705,0,222831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388399379,468321
