t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
0,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6793318692828747510,18.25,1196201,nan,nan,nan,nan,nan,nan,0,0,0,76.47,0.00,0,0.00,0,0,0,nan,0,0.00,1196201,0.00,7
1,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6793318692828747510,20.31,1330871,nan,nan,nan,nan,nan,nan,0,0,0,73.82,0.00,0,0.00,0,0,0,nan,0,0.00,137188,0.00,2070766
2,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6793318692828747510,22.39,1467312,nan,nan,nan,nan,nan,nan,0,0,0,71.14,0.00,0,0.00,0,0,0,nan,0,0.00,139804,0.00,2088363
3,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6793318692828747510,24.38,1597791,nan,nan,nan,nan,nan,nan,0,0,0,68.57,0.00,0,0.00,0,0,0,nan,0,0.00,133698,0.00,1998186
4,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6793318692828747510,26.43,1732078,nan,nan,nan,nan,nan,nan,0,0,0,65.93,0.00,0,0.00,0,0,0,nan,0,0.00,137604,0.00,2048666
5,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6793318692828747510,28.53,1869478,nan,nan,nan,nan,nan,nan,0,0,0,63.23,0.00,0,0.00,0,0,0,nan,0,0.00,140763,0.00,2098618
6,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6793318692828747510,30.56,2003004,nan,nan,nan,nan,nan,nan,0,0,0,60.60,0.00,0,0.00,0,0,0,nan,0,0.00,136847,0.00,2040400
7,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6793318692828747510,32.57,2134180,nan,nan,nan,nan,nan,nan,0,0,0,58.02,0.00,0,0.00,0,0,0,nan,0,0.00,134378,0.00,2007947
8,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6793318692828747510,34.61,2267964,nan,nan,nan,nan,nan,nan,0,0,0,55.39,0.00,0,0.00,0,0,0,nan,0,0.00,137066,0.00,2036958
9,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6793318692828747510,36.61,2399435,nan,nan,nan,nan,nan,nan,0,0,0,52.80,0.00,0,0.00,0,0,0,nan,0,0.00,134729,0.00,2013939
0,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10512497704704824997,18.25,1196046,nan,nan,nan,nan,nan,nan,0,0,0,76.47,0.00,0,0.00,0,0,0,nan,0,0.00,1196046,0.00,0
1,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10512497704704824997,20.32,1331830,nan,nan,nan,nan,nan,nan,0,0,0,73.80,0.00,0,0.00,0,0,0,nan,0,0.00,138312,0.00,2090131
2,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10512497704704824997,22.42,1469255,nan,nan,nan,nan,nan,nan,0,0,0,71.10,0.00,0,0.00,0,0,0,nan,0,0.00,140836,0.00,2105199
3,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10512497704704824997,24.50,1605869,nan,nan,nan,nan,nan,nan,0,0,0,68.41,0.00,0,0.00,0,0,0,nan,0,0.00,139973,0.00,2095068
4,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10512497704704824997,26.57,1741109,nan,nan,nan,nan,nan,nan,0,0,0,65.75,0.00,0,0.00,0,0,0,nan,0,0.00,138592,0.00,2059474
5,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10512497704704824997,28.66,1878176,nan,nan,nan,nan,nan,nan,0,0,0,63.06,0.00,0,0.00,0,0,0,nan,0,0.00,140436,0.00,2096776
6,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10512497704704824997,30.77,2016307,nan,nan,nan,nan,nan,nan,0,0,0,60.34,0.00,0,0.00,0,0,0,nan,0,0.00,141525,0.00,2111933
7,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10512497704704824997,32.84,2152468,nan,nan,nan,nan,nan,nan,0,0,0,57.66,0.00,0,0.00,0,0,0,nan,0,0.00,139521,0.00,2084873
8,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10512497704704824997,34.94,2290050,nan,nan,nan,nan,nan,nan,0,0,0,54.96,0.00,0,0.00,0,0,0,nan,0,0.00,140968,0.00,2097162
9,100,0,larger64,1,70,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,10512497704704824997,37.03,2426840,nan,nan,nan,nan,nan,nan,0,0,0,52.27,0.00,0,0.00,0,0,0,nan,0,0.00,140150,0.00,2096702
0,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,18.27,1197049,nan,nan,nan,nan,nan,nan,0,0,0,76.45,0.00,0,0.00,0,0,0,nan,0,0.00,1197049,0.00,0
1,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,20.11,1317717,nan,nan,nan,nan,nan,nan,0,0,0,74.08,0.00,0,0.00,0,0,0,nan,0,0.00,122862,0.00,1861864
2,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,22.05,1444892,nan,nan,nan,nan,nan,nan,0,0,0,71.58,0.00,0,0.00,0,0,0,nan,0,0.00,130285,0.00,1941969
3,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,24.09,1578791,nan,nan,nan,nan,nan,nan,0,0,0,68.95,0.00,0,0.00,0,0,0,nan,0,0.00,137239,0.00,2049350
4,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,26.04,1706346,nan,nan,nan,nan,nan,nan,0,0,0,66.44,0.00,0,0.00,0,0,0,nan,0,0.00,130707,0.00,1955516
5,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,27.96,1832328,nan,nan,nan,nan,nan,nan,0,0,0,63.96,0.00,0,0.00,0,0,0,nan,0,0.00,129063,0.00,1915956
6,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,29.90,1959552,nan,nan,nan,nan,nan,nan,0,0,0,61.46,0.00,0,0.00,0,0,0,nan,0,0.00,130350,0.00,1946860
7,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,31.90,2090404,nan,nan,nan,nan,nan,nan,0,0,0,58.88,0.00,0,0.00,0,0,0,nan,0,0.00,134097,0.00,2006236
8,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,33.85,2218690,nan,nan,nan,nan,nan,nan,0,0,0,56.36,0.00,0,0.00,0,0,0,nan,0,0.00,131391,0.00,1952015
9,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,17001407098011563720,35.77,2344215,nan,nan,nan,nan,nan,nan,0,0,0,53.89,0.00,0,0.00,0,0,0,nan,0,0.00,128650,0.00,1923038
0,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,18.26,1196945,nan,nan,nan,nan,nan,nan,0,0,0,76.46,0.00,0,0.00,0,0,0,nan,0,0.00,1196945,0.00,0
1,100,0,larger64,1,80,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,2516659146103900695,20.22,1325301,nan,nan,nan,nan,nan,nan,0,0,0,73.93,0.00,0,0.00,0,0,0,nan,0,0.00,130686,0.00,1978021
