t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
0,100,0,cloud-GenuineIntel,0,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,3028181002567289316,18.24,1195477,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,76.49,0.00,0,0.00,0,0,0,-nan,0,0.00,1195477,0.00,1
1,100,0,cloud-GenuineIntel,0,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,3028181002567289316,18.28,1197800,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,76.44,0.00,0,0.00,0,0,0,-nan,0,0.00,2324,0.00,44775
2,100,0,cloud-GenuineIntel,0,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,3028181002567289316,18.32,1200622,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,76.38,0.00,0,0.00,0,0,0,-nan,0,0.00,2831,0.00,45723
3,100,0,cloud-GenuineIntel,0,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,3028181002567289316,18.36,1203449,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,76.33,0.00,0,0.00,0,0,0,-nan,0,0.00,2831,0.00,45257
4,100,0,cloud-GenuineIntel,0,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,3028181002567289316,18.41,1206280,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,76.27,0.00,0,0.00,0,0,0,-nan,0,0.00,2837,0.00,45795
5,100,0,cloud-GenuineIntel,0,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,3028181002567289316,18.45,1209124,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,76.22,0.00,0,0.00,0,0,0,-nan,0,0.00,2846,0.00,45284
6,100,0,cloud-GenuineIntel,0,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,3028181002567289316,18.49,1212074,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,76.16,0.00,0,0.00,0,0,0,-nan,0,0.00,2959,0.00,45159
7,100,0,cloud-GenuineIntel,0,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,3028181002567289316,18.55,1215436,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,76.09,0.00,0,0.00,0,0,0,-nan,0,0.00,3371,0.00,44712
8,100,0,cloud-GenuineIntel,0,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,3028181002567289316,18.59,1218390,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,76.03,0.00,0,0.00,0,0,0,-nan,0,0.00,2959,0.00,44720
9,100,0,cloud-GenuineIntel,0,1,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,3028181002567289316,18.63,1221172,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,75.98,0.00,0,0.00,0,0,0,-nan,0,0.00,2794,0.00,44905
