t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
0,100,0,rome,0,1,1,1,1,20,0,6,220.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6533619504406309191,18.25,1195912,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,91.45,0.00,0,0.00,0,0,0,-nan,0,0.00,1195912,0.00,0
1,100,0,rome,0,1,1,1,1,20,0,6,220.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6533619504406309191,18.27,1197171,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,91.44,0.00,0,0.00,0,0,0,-nan,0,0.00,1272,0.00,28057
2,100,0,rome,0,1,1,1,1,20,0,6,220.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6533619504406309191,18.30,1199536,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,91.42,0.00,0,0.00,0,0,0,-nan,0,0.00,2365,0.00,37941
3,100,0,rome,0,1,1,1,1,20,0,6,220.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6533619504406309191,18.34,1202028,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,91.40,0.00,0,0.00,0,0,0,-nan,0,0.00,2493,0.00,40032
4,100,0,rome,0,1,1,1,1,20,0,6,220.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6533619504406309191,18.38,1204498,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,91.38,0.00,0,0.00,0,0,0,-nan,0,0.00,2474,0.00,39712
5,100,0,rome,0,1,1,1,1,20,0,6,220.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6533619504406309191,18.42,1207006,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,91.37,0.00,0,0.00,0,0,0,-nan,0,0.00,2511,0.00,40107
6,100,0,rome,0,1,1,1,1,20,0,6,220.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6533619504406309191,18.46,1209498,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,91.35,0.00,0,0.00,0,0,0,-nan,0,0.00,2494,0.00,40232
7,100,0,rome,0,1,1,1,1,20,0,6,220.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6533619504406309191,18.49,1212066,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,91.33,0.00,0,0.00,0,0,0,-nan,0,0.00,2572,0.00,40076
8,100,0,rome,0,1,1,1,1,20,0,6,220.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6533619504406309191,18.54,1215029,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,91.31,0.00,0,0.00,0,0,0,-nan,0,0.00,2967,0.00,39555
9,100,0,rome,0,1,1,1,1,20,0,6,220.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,6533619504406309191,18.58,1217807,-nan,-nan,-nan,-nan,-nan,-nan,0,0,0,91.29,0.00,0,0.00,0,0,0,-nan,0,0.00,2780,0.00,39448
