t,tpcc_warehouse_count,tpcc_warehouse_affinity,run_until_tx,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
1,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,19.5,1277818,100,0,0,0,0,0,0,0,0,91.62,0,0,0,26226392,0,0,0,0,0,82689,0,1263161
1,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,19.4,1271414,100,0,0,0,0,0,0,0,0,91.66,0,0,0,27535039,0,0,0,0,0,76152,0,1167527
1,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,19.6,1284244,100,0,0,0,0,0,0,0,0,91.58,0,0,0,24305306,0,0,0,0,0,89363,0,1367522
1,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,19.74,1293963,100,0,0,0,0,0,0,0,0,91.52,0,0,0,23956930,0,0,0,0,0,98213,0,1492026
2,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,20.93,1371916,100,0,0,0,0,0,0,0,0,91.01,0,0,0,23138533,0,0,0,0,0,96399,0,1442178
2,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,20.79,1362326,100,0,0,0,0,0,0,0,0,91.07,0,0,0,22029856,0,0,0,0,0,93138,0,1389291
2,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,21.53,1410990,100,0,0,0,0,0,0,0,0,90.75,0,0,0,21265805,0,0,0,0,0,129867,0,1938443
2,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,21.97,1439930,100,0,0,0,0,0,0,0,0,90.56,0,0,0,17335609,0,0,0,0,0,149514,0,2231513
3,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,22.39,1467389,100,0,0,0,0,0,0,0,0,90.38,0,0,0,22314456,0,0,0,0,0,97816,0,1460265
3,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,22.21,1455784,100,0,0,0,0,0,0,0,0,90.46,0,0,0,21228435,0,0,0,0,0,95762,0,1429716
3,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,24.08,1578176,100,0,0,0,0,0,0,0,0,89.65,0,0,0,15973762,0,0,0,0,0,171332,0,2556663
3,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,24.55,1608691,100,0,0,0,0,0,0,0,0,89.45,0,0,0,16036753,0,0,0,0,0,172925,0,2583222
4,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,23.84,1562513,100,0,0,0,0,0,0,0,0,89.76,0,0,0,22393635,0,0,0,0,0,97488,0,1457449
4,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,23.64,1549120,100,0,0,0,0,0,0,0,0,89.84,0,0,0,20982486,0,0,0,0,0,95628,0,1430330
4,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,0,80,0,512,14386368177284270080,26.62,1744654,100,0,0,0,0,0,0,0,0,88.56,0,0,0,15923931,0,0,0,0,0,170558,0,2534556
4,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,1,7,14,1,5,1,80,0,512,14534782220402280448,27.11,1776510,100,0,0,0,0,0,0,0,0,88.35,0,0,0,17213179,0,0,0,0,0,171969,0,2554657
5,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,0,80,0,512,16449538050958622720,25.28,1656846,100,0,0,0,0,0,0,0,0,89.14,0,0,0,22944343,0,0,0,0,0,96691,0,1443207
5,100,0,1200000000,NA,1,120,0,1,1,20,4,6,240,0,10,0,0,0,0,0,7,14,1,5,1,80,0,512,17380292763826735104,25.06,1642579,100,0,0,0,0,0,0,0,0,89.23,0,0,0,20992278,0,0,0,0,0,95732,0,1429960
