t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,tpcc_warehouse_count,tpcc_warehouse_affinity,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
0,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,0.93486,61267,100,0,0,0,0,0,0,0,0,97.5898,0,0,0,5038037,0,0,2.64956,0,0,0,61267,0,5,78026.8,53797,2647.8,832.6,1149,92569.2,0.689468,2.64956,0.842902,0,0,0,0,0,0,0,0,0,0,10,stock,0,0,131,0,0,0,0,0,0,0
0,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,0.93486,61267,100,0,0,0,0,0,0,0,0,97.5898,0,0,0,5038037,0,0,2.64956,0,0,0,61267,0,5,78026.8,53797,2647.8,832.6,1149,92569.2,0.689468,2.64956,0.842902,0,0,0,0,0,0,0,0,0,0,9,item,0,0,0,0,0,0,0,0,0,0
0,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,0.93486,61267,100,0,0,0,0,0,0,0,0,97.5898,0,0,0,5038037,0,0,2.64956,0,0,0,61267,0,5,78026.8,53797,2647.8,832.6,1149,92569.2,0.689468,2.64956,0.842902,0,0,0,0,0,0,0,0,0,0,8,orderline,0,0,434,0,0,0,0,0,0,0
0,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,0.93486,61267,100,0,0,0,0,0,0,0,0,97.5898,0,0,0,5038037,0,0,2.64956,0,0,0,61267,0,5,78026.8,53797,2647.8,832.6,1149,92569.2,0.689468,2.64956,0.842902,0,0,0,0,0,0,0,0,0,0,7,order_wdc,0,0,18,0,0,0,0,0,0,0
0,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,0.93486,61267,100,0,0,0,0,0,0,0,0,97.5898,0,0,0,5038037,0,0,2.64956,0,0,0,61267,0,5,78026.8,53797,2647.8,832.6,1149,92569.2,0.689468,2.64956,0.842902,0,0,0,0,0,0,0,0,0,0,6,order,0,0,47,0,0,0,0,0,0,0
0,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,0.93486,61267,100,0,0,0,0,0,0,0,0,97.5898,0,0,0,5038037,0,0,2.64956,0,0,0,61267,0,5,78026.8,53797,2647.8,832.6,1149,92569.2,0.689468,2.64956,0.842902,0,0,0,0,0,0,0,0,0,0,1,district,0,0,0,0,0,0,0,0,0,0
0,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,0.93486,61267,100,0,0,0,0,0,0,0,0,97.5898,0,0,0,5038037,0,0,2.64956,0,0,0,61267,0,5,78026.8,53797,2647.8,832.6,1149,92569.2,0.689468,2.64956,0.842902,0,0,0,0,0,0,0,0,0,0,0,warehouse,0,0,0,0,0,0,0,0,0,0
0,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,0.93486,61267,100,0,0,0,0,0,0,0,0,97.5898,0,0,0,5038037,0,0,2.64956,0,0,0,61267,0,5,78026.8,53797,2647.8,832.6,1149,92569.2,0.689468,2.64956,0.842902,0,0,0,0,0,0,0,0,0,0,2,customer,0,0,74,0,0,0,0,0,0,0
0,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,0.93486,61267,100,0,0,0,0,0,0,0,0,97.5898,0,0,0,5038037,0,0,2.64956,0,0,0,61267,0,5,78026.8,53797,2647.8,832.6,1149,92569.2,0.689468,2.64956,0.842902,0,0,0,0,0,0,0,0,0,0,3,customerwdl,0,0,41,0,0,0,0,0,0,0
0,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,0.93486,61267,100,0,0,0,0,0,0,0,0,97.5898,0,0,0,5038037,0,0,2.64956,0,0,0,61267,0,5,78026.8,53797,2647.8,832.6,1149,92569.2,0.689468,2.64956,0.842902,0,0,0,0,0,0,0,0,0,0,4,history,0,0,44,0,0,0,0,0,0,0
0,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,0.93486,61267,100,0,0,0,0,0,0,0,0,97.5898,0,0,0,5038037,0,0,2.64956,0,0,0,61267,0,5,78026.8,53797,2647.8,832.6,1149,92569.2,0.689468,2.64956,0.842902,0,0,0,0,0,0,0,0,0,0,5,neworder,0,0,0,0,0,0,0,0,0,0
1,5,1,20,1,6,40,0,0,30,0,0,0,0,0,1,100,5,0,1.32825,87048,100,0,0,0,0,0,0,0,0,96.5756,0,0,0,5723460,0,0,4.99855,0,0,0,26245,0,388946,52547.9,61292.2,694.534,114.656,386.018,12854.5,1.16641,4.99855,4.0879,0,0,0,0,0,0,0,0,0,0,10,stock,0,28,0,155,0,0,0,0,0,0
