t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,symbol
1,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.65,119842351,13.52,10.19,76.29,54.67,4.04,53420730877445.9,108552,387260,387259,0.34,4.72,19,2131.26,26008,102900,101383,15.06,12374,2125.12,79,3670.74,14740,1
1,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.06,120066174,2.58,14.87,82.54,43.11,0.92,366786276533815,18863,12319,12319,0.73,23.67,19,3115.46,47513,14006,13763,24.44,149686,3115.49,92,3756.8,15057,1
1,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1170.45,76706575,43.78,7.48,48.74,29.52,6.72,113295065346141,312132,8887,8887,0.79,6.65,19,1751.71,148847,286508,182272,15.05,35879,1754.79,7190,5604.65,24679,4
2,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.65,119842405,18.21,9.01,72.79,56.73,4.42,136203198536679,142673,67684,67685,0.37,4.73,19,2040.63,4878,135492,133397,11.45,6414,2024.33,62,1975.91,8394,1
2,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.07,120066282,0.01,16.21,83.78,41.23,0,452053228033147,26,839,838,0.43,22.21,19,3324.86,53,22,21,27.1,179045,3325.36,114,4045.5,17501,1
2,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1170.52,76711114,0.04,14.77,85.19,49.35,0.01,451859110022986,121,814,814,0.47,5.27,19,3230.71,51,115,71,28.39,85358,3225.83,4586,3911.81,17509,4
3,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.65,119842449,14.72,9.64,75.64,56.12,4.9,336150490242055,137642,156326,156326,0.36,4.72,19,1993.03,11949,130712,128546,13.57,7153,1970.97,46,2001.8,8539,1
3,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1832.07,120066376,0.01,16.92,83.06,39.62,0,450247533755849,30,899,899,0.29,20.66,19,3565.91,55,24,24,27.35,190962,3566.19,101,3893.05,17010,1
3,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,1,7,14,1,5,1,80,0,512,1.6532396161382e+19,1170.08,76682045,17.07,9.18,73.75,51.07,2.85,425526285290520,110672,84189,84189,0.39,4.66,19,2474.29,6330,105105,69020,17.31,33520,2430.29,3820,3122.08,15101,4
4,10000,0,NA,1,120,0,1,1,20,4,6,240,0,1800,0,0,0,0,0,7,14,1,5,0,80,0,512,8799666011997266944,1828.65,119842493,14.98,9.97,75.05,56.86,4.79,92024698901310.5,131603,146552,146552,0.35,4.72,19,1914.54,11324,125038,122935,12.39,6442,1886.81,44,1954.32,8428,1
